gene	S1_A2	S2_A2
MvSl-1064-A2-R4_MC09g09784	2414	2242
MvSl-1064-A2-R4_MC09g09785	852	952
MvSl-1064-A2-R4_MC09g09786	13587	14196
MvSl-1064-A2-R4_MC09g09787	2710	2729
MvSl-1064-A2-R4_MC09g09788	1081	2795
MvSl-1064-A2-R4_MC09g09789	1587	1759
MvSl-1064-A2-R4_MC09g09790	560	734
MvSl-1064-A2-R4_MC09g09791	1336	1999
MvSl-1064-A2-R4_MC09g09792	1420	1371
MvSl-1064-A2-R4_MC09g09793	2971	2717
MvSl-1064-A2-R4_MC09g09794	870.657	657.704
MvSl-1064-A2-R4_MC09g09795	5865	5105
MvSl-1064-A2-R4_MC09g09796	1686	1672
MvSl-1064-A2-R4_MC09g09797	34	26
MvSl-1064-A2-R4_MC09g09798	3151	2296
MvSl-1064-A2-R4_MC09g09799	2358	3084
MvSl-1064-A2-R4_MC09g09800	17	13
MvSl-1064-A2-R4_MC09g09801	1714	1577
MvSl-1064-A2-R4_MC09g09802	1141	804
MvSl-1064-A2-R4_MC09g09803	708	617
MvSl-1064-A2-R4_MC09g09804	3103	2434
MvSl-1064-A2-R4_MC09g09805	4272.91	6719.5
MvSl-1064-A2-R4_MC09g09806	1127	932
MvSl-1064-A2-R4_MC09g09807	1062	1160
MvSl-1064-A2-R4_MC09g09808	1880	2162
MvSl-1064-A2-R4_MC09g09809	43	46
MvSl-1064-A2-R4_MC09g09810	19.5439	25.954
MvSl-1064-A2-R4_MC09g09811	69.1327	66.1966
MvSl-1064-A2-R4_MC09g09812	148.396	142.183
MvSl-1064-A2-R4_MC09g09813	688.581	606.953
MvSl-1064-A2-R4_MC09g09814	5037.24	5056.48
MvSl-1064-A2-R4_MC09g09815	3446.39	4755.19
MvSl-1064-A2-R4_MC09g09816	1422.82	1348.97
MvSl-1064-A2-R4_MC09g09817	222.207	186.805
MvSl-1064-A2-R4_MC09g09818	897.859	858.466
MvSl-1064-A2-R4_MC09g09819	772.24	994.281
MvSl-1064-A2-R4_MC09g09820	183	179
MvSl-1064-A2-R4_MC09g09821	1031	1276
MvSl-1064-A2-R4_MC09g09822	74	93
MvSl-1064-A2-R4_MC09g09823	359	405
MvSl-1064-A2-R4_MC09g09824	767	736
MvSl-1064-A2-R4_MC09g09825	1570	1367
MvSl-1064-A2-R4_MC09g09826	1457	1161
MvSl-1064-A2-R4_MC09g09827	2786	2712
MvSl-1064-A2-R4_MC09g09828	477	456
MvSl-1064-A2-R4_MC09g09829	309	242
MvSl-1064-A2-R4_MC09g09830	988	1463
MvSl-1064-A2-R4_MC09g09831	4700	4542
MvSl-1064-A2-R4_MC09g09832	2184	1933
MvSl-1064-A2-R4_MC09g09833	1342	1214
MvSl-1064-A2-R4_MC09g09834	2860	3458
MvSl-1064-A2-R4_MC09g09835	1868	1999
MvSl-1064-A2-R4_MC09g09836	4595	5663
MvSl-1064-A2-R4_MC09g09837	303	256
MvSl-1064-A2-R4_MC09g09838	2861	2623
MvSl-1064-A2-R4_MC09g09839	397.057	492.248
MvSl-1064-A2-R4_MC09g09840	37.2193	26.3287
MvSl-1064-A2-R4_MC09g09841	577.914	499.012
MvSl-1064-A2-R4_MC09g09842	0	2
MvSl-1064-A2-R4_MC09g09843	890.539	866.319
MvSl-1064-A2-R4_MC09g09844	1.72744	7.54174
MvSl-1064-A2-R4_MC09g09845	0	0
MvSl-1064-A2-R4_MC09g09846	1.12028	0.557598
MvSl-1064-A2-R4_MC09g09847	5.86104	8.49828
MvSl-1064-A2-R4_MC09g09848	0.733112	0.99922
MvSl-1064-A2-R4_MC09g09849	0.5	0.5
MvSl-1064-A2-R4_MC09g09850	0	0.622826
MvSl-1064-A2-R4_MC09g09851	0	0
MvSl-1064-A2-R4_MC09g09852	0	0
MvSl-1064-A2-R4_MC10g09853	0	0
MvSl-1064-A2-R4_MC10g09854	1014.49	911.672
MvSl-1064-A2-R4_MC10g09855	880.824	1041.59
MvSl-1064-A2-R4_MC10g09856	0	0
MvSl-1064-A2-R4_MC10g09857	701.668	696.604
MvSl-1064-A2-R4_MC10g09858	814.262	672.829
MvSl-1064-A2-R4_MC10g09859	40	42
MvSl-1064-A2-R4_MC10g09860	24	18
MvSl-1064-A2-R4_MC10g09861	7	15
MvSl-1064-A2-R4_MC10g09862	931.1	1017
MvSl-1064-A2-R4_MC10g09863	489.151	567.412
MvSl-1064-A2-R4_MC10g09864	2086.96	2088.82
MvSl-1064-A2-R4_MC10g09865	686.695	596.701
MvSl-1064-A2-R4_MC10g09866	1.00274	1.00281
MvSl-1064-A2-R4_MC10g09867	2450	2434
MvSl-1064-A2-R4_MC10g09868	1808	1614
MvSl-1064-A2-R4_MC10g09869	7169	7642
MvSl-1064-A2-R4_MC10g09870	3570	3009
MvSl-1064-A2-R4_MC10g09871	2046	1817
MvSl-1064-A2-R4_MC10g09872	112	114
MvSl-1064-A2-R4_MC10g09873	6292	6621
MvSl-1064-A2-R4_MC10g09874	1178	842
MvSl-1064-A2-R4_MC10g09875	1333	1145
MvSl-1064-A2-R4_MC10g09876	5116	5253
MvSl-1064-A2-R4_MC10g09877	1439	1061
MvSl-1064-A2-R4_MC10g09878	243	243
MvSl-1064-A2-R4_MC10g09879	2089	1863
MvSl-1064-A2-R4_MC10g09880	5870	7753
MvSl-1064-A2-R4_MC10g09881	94.0609	160.934
MvSl-1064-A2-R4_MC10g09882	943.083	945.015
MvSl-1064-A2-R4_MC10g09883	149.631	212.179
MvSl-1064-A2-R4_MC10g09884	134.089	178.836
MvSl-1064-A2-R4_MC10g09885	8198.49	8549.86
MvSl-1064-A2-R4_MC10g09886	36.0246	89.5093
MvSl-1064-A2-R4_MC10g09887	141	158
MvSl-1064-A2-R4_MC10g09888	2269	1237
MvSl-1064-A2-R4_MC10g09889	111.618	132.275
MvSl-1064-A2-R4_MC10g09890	187.736	247.601
MvSl-1064-A2-R4_MC10g09891	37.0727	54.8109
MvSl-1064-A2-R4_MC10g09892	134.013	139.716
MvSl-1064-A2-R4_MC10g09893	187.736	247.601
MvSl-1064-A2-R4_MC10g09894	2134	1916
MvSl-1064-A2-R4_MC10g09895	3899	4691
MvSl-1064-A2-R4_MC10g09896	1773	1734
MvSl-1064-A2-R4_MC10g09897	3244	3348
MvSl-1064-A2-R4_MC10g09898	194	275
MvSl-1064-A2-R4_MC10g09899	2445	2961
MvSl-1064-A2-R4_MC10g09900	4431	6198
MvSl-1064-A2-R4_MC10g09901	412	580
MvSl-1064-A2-R4_MC10g09902	1719	1336
MvSl-1064-A2-R4_MC10g09903	364	341
MvSl-1064-A2-R4_MC10g09904	73	86
MvSl-1064-A2-R4_MC10g09905	587	538
MvSl-1064-A2-R4_MC10g09906	1700	1803
MvSl-1064-A2-R4_MC10g09907	2875	4005
MvSl-1064-A2-R4_MC10g09908	1625	1362
MvSl-1064-A2-R4_MC10g09909	1420	1470
MvSl-1064-A2-R4_MC10g09910	733	894
MvSl-1064-A2-R4_MC10g09911	1052	1109
MvSl-1064-A2-R4_MC10g09912	1627.53	1663.08
MvSl-1064-A2-R4_MC10g09913	2399	2106
MvSl-1064-A2-R4_MC10g09914	14470	16208
MvSl-1064-A2-R4_MC10g09915	3179	2332
MvSl-1064-A2-R4_MC10g09916	1466	1515
MvSl-1064-A2-R4_MC10g09917	77	133
MvSl-1064-A2-R4_MC10g09918	38	55
MvSl-1064-A2-R4_MC10g09919	93	128
MvSl-1064-A2-R4_MC10g09920	23.2407	22.842
MvSl-1064-A2-R4_MC10g09921	45.4092	48.4992
MvSl-1064-A2-R4_MC10g09922	6296	5851
MvSl-1064-A2-R4_MC10g09923	3192	2235
MvSl-1064-A2-R4_MC10g09924	4988	4791
MvSl-1064-A2-R4_MC10g09925	6137	5990
MvSl-1064-A2-R4_MC10g09926	7686	7936
MvSl-1064-A2-R4_MC10g09927	11118	14177
MvSl-1064-A2-R4_MC10g09928	4593	3741
MvSl-1064-A2-R4_MC10g09929	1399	1757
MvSl-1064-A2-R4_MC10g09930	3250	2663
MvSl-1064-A2-R4_MC10g09931	995	808
MvSl-1064-A2-R4_MC10g09932	7401	6522
MvSl-1064-A2-R4_MC10g09933	677	525
MvSl-1064-A2-R4_MC10g09934	3745	3474
MvSl-1064-A2-R4_MC10g09935	127	63
MvSl-1064-A2-R4_MC10g09936	881	712
MvSl-1064-A2-R4_MC10g09937	3532	3878
MvSl-1064-A2-R4_MC10g09938	8245	9198
MvSl-1064-A2-R4_MC10g09939	1	2
MvSl-1064-A2-R4_MC10g09940	91.3942	119.949
MvSl-1064-A2-R4_MC10g09941	99	141
MvSl-1064-A2-R4_MC10g09942	202	189
MvSl-1064-A2-R4_MC10g09943	58	53
MvSl-1064-A2-R4_MC10g09944	2923	2880
MvSl-1064-A2-R4_MC10g09945	19.0642	23
MvSl-1064-A2-R4_MC10g09946	528.227	607
MvSl-1064-A2-R4_MC10g09947	153	221
MvSl-1064-A2-R4_MC10g09948	0	7
MvSl-1064-A2-R4_MC10g09949	0	0
MvSl-1064-A2-R4_MC10g09950	4283	4534
MvSl-1064-A2-R4_MC10g09951	1257	1286
MvSl-1064-A2-R4_MC10g09952	609	494
MvSl-1064-A2-R4_MC10g09953	1725	3613
MvSl-1064-A2-R4_MC10g09954	2012	3278
MvSl-1064-A2-R4_MC10g09955	14	2
MvSl-1064-A2-R4_MC10g09956	3584	3338
MvSl-1064-A2-R4_MC10g09957	2149	1662
MvSl-1064-A2-R4_MC10g09958	895	954
MvSl-1064-A2-R4_MC10g09959	8354.67	9798.54
MvSl-1064-A2-R4_MC10g09960	29192	31373
MvSl-1064-A2-R4_MC10g09961	2141	2035
MvSl-1064-A2-R4_MC10g09962	4022	3273
MvSl-1064-A2-R4_MC10g09963	1637	1657
MvSl-1064-A2-R4_MC10g09964	2801	2300
MvSl-1064-A2-R4_MC10g09965	27381	20491
MvSl-1064-A2-R4_MC10g09966	5724	4517
MvSl-1064-A2-R4_MC10g09967	323	354
MvSl-1064-A2-R4_MC10g09968	2924	1850
MvSl-1064-A2-R4_MC10g09969	4050	3511
MvSl-1064-A2-R4_MC10g09970	2027	1854
MvSl-1064-A2-R4_MC10g09971	3800	4160
MvSl-1064-A2-R4_MC10g09972	1999	1747
MvSl-1064-A2-R4_MC10g09973	7360	8407
MvSl-1064-A2-R4_MC10g09974	8	6
MvSl-1064-A2-R4_MC10g09975	0	0
MvSl-1064-A2-R4_MC10g09976	2944	3543
MvSl-1064-A2-R4_MC10g09977	3844	3003
MvSl-1064-A2-R4_MC10g09978	4754	4428
MvSl-1064-A2-R4_MC10g09979	590	489
MvSl-1064-A2-R4_MC10g09980	4621	6474
MvSl-1064-A2-R4_MC10g09981	3557	3556
MvSl-1064-A2-R4_MC10g09982	12	21
MvSl-1064-A2-R4_MC10g09983	2696	2218
MvSl-1064-A2-R4_MC10g09984	151	172
MvSl-1064-A2-R4_MC10g09985	888	2473
MvSl-1064-A2-R4_MC10g09986	2245	2157
MvSl-1064-A2-R4_MC10g09987	1163	1026
MvSl-1064-A2-R4_MC10g09988	3800	3831
MvSl-1064-A2-R4_MC10g09989	4996	5462
MvSl-1064-A2-R4_MC10g09990	3365	3454
MvSl-1064-A2-R4_MC10g09991	663	433
MvSl-1064-A2-R4_MC10g09992	2737	2375
MvSl-1064-A2-R4_MC10g09993	1402.19	827.964
MvSl-1064-A2-R4_MC10g09994	543	526
MvSl-1064-A2-R4_MC10g09995	255	239
MvSl-1064-A2-R4_MC10g09996	285	297
MvSl-1064-A2-R4_MC10g09997	284.608	291.317
MvSl-1064-A2-R4_MC10g09998	157.804	159.307
MvSl-1064-A2-R4_MC10g09999	270	310
MvSl-1064-A2-R4_MC10g10000	43.7918	80.7844
MvSl-1064-A2-R4_MC10g10001	2172.15	2875.36
MvSl-1064-A2-R4_MC10g10002	3	2
MvSl-1064-A2-R4_MC10g10003	8	7
MvSl-1064-A2-R4_MC10g10004	865	699
MvSl-1064-A2-R4_MC10g10005	7143	6260
MvSl-1064-A2-R4_MC10g10006	8713	10093
MvSl-1064-A2-R4_MC10g10007	9	3
MvSl-1064-A2-R4_MC10g10008	1339	946
MvSl-1064-A2-R4_MC10g10009	1886	1647
MvSl-1064-A2-R4_MC10g10010	1621	3172
MvSl-1064-A2-R4_MC10g10011	40	30
MvSl-1064-A2-R4_MC10g10012	2511	3194
MvSl-1064-A2-R4_MC10g10013	1797	2119
MvSl-1064-A2-R4_MC10g10014	872	966
MvSl-1064-A2-R4_MC10g10015	1998	1683
MvSl-1064-A2-R4_MC10g10016	1288	1342
MvSl-1064-A2-R4_MC10g10017	1332	1012
MvSl-1064-A2-R4_MC10g10018	2056	1789
MvSl-1064-A2-R4_MC10g10019	43	64
MvSl-1064-A2-R4_MC10g10020	3230	2502
MvSl-1064-A2-R4_MC10g10021	26	26
MvSl-1064-A2-R4_MC10g10022	6106	7891
MvSl-1064-A2-R4_MC10g10023	1719	2064
MvSl-1064-A2-R4_MC10g10024	3317	3141
MvSl-1064-A2-R4_MC10g10025	2411	3059
MvSl-1064-A2-R4_MC10g10026	1391	1336
MvSl-1064-A2-R4_MC10g10027	1462	1954
MvSl-1064-A2-R4_MC10g10028	2225	3250
MvSl-1064-A2-R4_MC10g10029	1289	1261
MvSl-1064-A2-R4_MC10g10030	1239	1067
MvSl-1064-A2-R4_MC10g10031	2789.67	3314.68
MvSl-1064-A2-R4_MC10g10032	153	190
MvSl-1064-A2-R4_MC10g10033	2845	4100
MvSl-1064-A2-R4_MC10g10034	680	828
MvSl-1064-A2-R4_MC10g10035	6372	4709
MvSl-1064-A2-R4_MC10g10036	9473	10660
MvSl-1064-A2-R4_MC10g10037	3044	2972
MvSl-1064-A2-R4_MC10g10038	441	457
MvSl-1064-A2-R4_MC10g10039	1890.89	1807.53
MvSl-1064-A2-R4_MC10g10040	2015.32	1650.86
MvSl-1064-A2-R4_MC10g10041	2712.69	2726.59
MvSl-1064-A2-R4_MC10g10042	0	1
MvSl-1064-A2-R4_MC10g10043	2298.93	2214.16
MvSl-1064-A2-R4_MC10g10044	3153	2683
MvSl-1064-A2-R4_MC10g10045	5134	6508
MvSl-1064-A2-R4_MC10g10046	1.05955	0
MvSl-1064-A2-R4_MC10g10047	0.000512162	4.26832e-07
MvSl-1064-A2-R4_MC10g10048	30728	39512
MvSl-1064-A2-R4_MC10g10049	53461	59267
MvSl-1064-A2-R4_MC10g10050	3007	2990
MvSl-1064-A2-R4_MC10g10051	938.136	832.334
MvSl-1064-A2-R4_MC10g10052	54.3766	76.5948
MvSl-1064-A2-R4_MC10g10053	5	2
MvSl-1064-A2-R4_MC10g10054	0	0
MvSl-1064-A2-R4_MC10g10055	3912	4178
MvSl-1064-A2-R4_MC10g10056	1440.48	2444.56
MvSl-1064-A2-R4_MC10g10057	5004.38	6063.56
MvSl-1064-A2-R4_MC10g10058	3387	3234
MvSl-1064-A2-R4_MC10g10059	8472	6643
MvSl-1064-A2-R4_MC10g10060	3149.44	4352.56
MvSl-1064-A2-R4_MC10g10061	234.705	460.466
MvSl-1064-A2-R4_MC10g10062	1401	1147
MvSl-1064-A2-R4_MC10g10063	469.501	367.826
MvSl-1064-A2-R4_MC10g10064	3093	2878
MvSl-1064-A2-R4_MC10g10065	3691	3307
MvSl-1064-A2-R4_MC10g10066	2498	2154
MvSl-1064-A2-R4_MC10g10067	2353	2187
MvSl-1064-A2-R4_MC10g10068	334	263
MvSl-1064-A2-R4_MC10g10069	885	650
MvSl-1064-A2-R4_MC10g10070	82.7589	123.193
MvSl-1064-A2-R4_MC10g10071	1136.41	1411.33
MvSl-1064-A2-R4_MC10g10072	2	3.23719
MvSl-1064-A2-R4_MC10g10073	782.442	851.775
MvSl-1064-A2-R4_MC10g10074	38.9107	35.2174
MvSl-1064-A2-R4_MC10g10075	2558	3006
MvSl-1064-A2-R4_MC10g10076	1308.99	1379
MvSl-1064-A2-R4_MC10g10077	0	0
MvSl-1064-A2-R4_MC10g10078	5156	5149
MvSl-1064-A2-R4_MC10g10079	2385	3072
MvSl-1064-A2-R4_MC10g10080	61.8542	108.467
MvSl-1064-A2-R4_MC10g10081	1493.88	2604.27
MvSl-1064-A2-R4_MC10g10082	9.06217	18.0905
MvSl-1064-A2-R4_MC10g10083	1.02941	5
MvSl-1064-A2-R4_MC10g10084	279.88	352.891
MvSl-1064-A2-R4_MC10g10085	3014	2806
MvSl-1064-A2-R4_MC10g10086	725.995	867.985
MvSl-1064-A2-R4_MC10g10087	13.0254	24.0984
MvSl-1064-A2-R4_MC10g10088	8	6.00465
MvSl-1064-A2-R4_MC10g10089	1.04718	5
MvSl-1064-A2-R4_MC10g10090	10	18
MvSl-1064-A2-R4_MC10g10091	3	3
MvSl-1064-A2-R4_MC10g10092	1	5
MvSl-1064-A2-R4_MC10g10093	5.07005	2.01454
MvSl-1064-A2-R4_MC10g10094	1.09138	1.15074
MvSl-1064-A2-R4_MC10g10095	0	2
MvSl-1064-A2-R4_MC10g10096	29.6428	15.5163
MvSl-1064-A2-R4_MC10g10097	0	0
MvSl-1064-A2-R4_MC10g10098	0	0
MvSl-1064-A2-R4_MC10g10099	33.2714	39.2696
MvSl-1064-A2-R4_MC10g10100	777.886	914.355
MvSl-1064-A2-R4_MC10g10101	42.9341	50.2876
MvSl-1064-A2-R4_MC10g10102	0	0
MvSl-1064-A2-R4_MC10g10103	0	1.12379
MvSl-1064-A2-R4_MC10g10104	0	0
MvSl-1064-A2-R4_MC10g10105	0	0
MvSl-1064-A2-R4_MC10g10106	8.52487	5.47544
MvSl-1064-A2-R4_MC10g10107	0	11.2641
MvSl-1064-A2-R4_MC10g10108	17.5993	20.0059
MvSl-1064-A2-R4_MC10g10109	9.99841	6.73646
MvSl-1064-A2-R4_MC10g10110	34.6371	10.3159
MvSl-1064-A2-R4_MC10g10111	0	0
MvSl-1064-A2-R4_MC10g10112	1.65698	0
MvSl-1064-A2-R4_MC10g10113	0	3.80938
MvSl-1064-A2-R4_MC10g10114	19.8886	3.85157
MvSl-1064-A2-R4_MC10g10115	0	0
MvSl-1064-A2-R4_MC10g10116	0	0
MvSl-1064-A2-R4_MC10g10117	126.863	76.9142
MvSl-1064-A2-R4_MC10g10118	0	0
MvSl-1064-A2-R4_MC10g10119	0	0
MvSl-1064-A2-R4_MC10g10120	63.9224	0.000346654
MvSl-1064-A2-R4_MC10g10121	133.823	162.392
MvSl-1064-A2-R4_MC10g10122	395.36	311.776
MvSl-1064-A2-R4_MC10g10123	9.64723	10.6147
MvSl-1064-A2-R4_MC10g10124	0	0
MvSl-1064-A2-R4_MC10g10125	0	0
MvSl-1064-A2-R4_MC10g10126	21.7689	11.361
MvSl-1064-A2-R4_MC10g10127	21.8606	31.497
MvSl-1064-A2-R4_MC10g10128	0	7.91853
MvSl-1064-A2-R4_MC10g10129	1.04247	3.21873
MvSl-1064-A2-R4_MC10g10130	6.80178	10.8077
MvSl-1064-A2-R4_MC10g10131	0	0
MvSl-1064-A2-R4_MC10g10132	27.3037	63.8838
MvSl-1064-A2-R4_MC10g10133	0	1.01892
MvSl-1064-A2-R4_MC10g10134	0	0
MvSl-1064-A2-R4_MC10g10135	15.1487	31.3139
MvSl-1064-A2-R4_MC10g10136	0	0
MvSl-1064-A2-R4_MC10g10137	532.556	892.486
MvSl-1064-A2-R4_MC10g10138	2.00134	10.0111
MvSl-1064-A2-R4_MC10g10139	1124.89	1509.26
MvSl-1064-A2-R4_MC10g10140	91	102
MvSl-1064-A2-R4_MC10g10141	1083.2	1096.15
MvSl-1064-A2-R4_MC10g10142	365	488
MvSl-1064-A2-R4_MC10g10143	1563.16	1724.84
MvSl-1064-A2-R4_MC10g10144	280	232.594
MvSl-1064-A2-R4_MC10g10145	5968	5462
MvSl-1064-A2-R4_MC10g10146	2676	2674
MvSl-1064-A2-R4_MC10g10147	3752	2829
MvSl-1064-A2-R4_MC10g10148	1463	1074
MvSl-1064-A2-R4_MC10g10149	111.555	98.1752
MvSl-1064-A2-R4_MC10g10150	1837.57	2737.82
MvSl-1064-A2-R4_MC10g10151	2668	2314
MvSl-1064-A2-R4_MC10g10152	2.11645	2
MvSl-1064-A2-R4_MC10g10153	118.905	152.479
MvSl-1064-A2-R4_MC10g10154	363.132	292.912
MvSl-1064-A2-R4_MC10g10155	6818	6398
MvSl-1064-A2-R4_MC10g10156	7003	6495
MvSl-1064-A2-R4_MC10g10157	2735	2590
MvSl-1064-A2-R4_MC10g10158	2779	2245
MvSl-1064-A2-R4_MC10g10159	18414	13154
MvSl-1064-A2-R4_MC10g10160	783	795
MvSl-1064-A2-R4_MC10g10161	1023	1169
MvSl-1064-A2-R4_MC10g10162	5950	7313
MvSl-1064-A2-R4_MC10g10163	0	0
MvSl-1064-A2-R4_MC10g10164	708.583	1687.95
MvSl-1064-A2-R4_MC10g10165	279.438	290.478
MvSl-1064-A2-R4_MC10g10166	3042.45	3791.73
MvSl-1064-A2-R4_MC10g10167	2859	2710
MvSl-1064-A2-R4_MC10g10168	1388	1348
MvSl-1064-A2-R4_MC10g10169	7288	6207
MvSl-1064-A2-R4_MC10g10170	3238	2469
MvSl-1064-A2-R4_MC10g10171	3127	2964
MvSl-1064-A2-R4_MC10g10172	89.4437	92.0358
MvSl-1064-A2-R4_MC10g10173	0	3.40248
MvSl-1064-A2-R4_MC10g10174	25.1161	51.8285
MvSl-1064-A2-R4_MC10g10175	43.1329	16.6491
MvSl-1064-A2-R4_MC10g10176	297.753	588.985
MvSl-1064-A2-R4_MC10g10177	478.536	534.99
MvSl-1064-A2-R4_MC10g10178	4931	5704
MvSl-1064-A2-R4_MC10g10179	6907	16943
MvSl-1064-A2-R4_MC10g10180	1546	1541
MvSl-1064-A2-R4_MC10g10181	10242	9811
MvSl-1064-A2-R4_MC10g10182	1.09435	2.11813
MvSl-1064-A2-R4_MC10g10183	0	0
MvSl-1064-A2-R4_MC10g10184	4	5
MvSl-1064-A2-R4_MC10g10185	24	39
MvSl-1064-A2-R4_MC10g10186	34	49
MvSl-1064-A2-R4_MC10g10187	4.61463	6.79092
MvSl-1064-A2-R4_MC10g10188	215	365
MvSl-1064-A2-R4_MC10g10189	5980	4953
MvSl-1064-A2-R4_MC10g10190	29	18
MvSl-1064-A2-R4_MC10g10191	358	222
MvSl-1064-A2-R4_MC10g10192	4510	3082
MvSl-1064-A2-R4_MC10g10193	4971	5989
MvSl-1064-A2-R4_MC10g10194	3125	2998
MvSl-1064-A2-R4_MC10g10195	4733	5760
MvSl-1064-A2-R4_MC10g10196	201.984	178.978
MvSl-1064-A2-R4_MC10g10197	44.0639	52.3646
MvSl-1064-A2-R4_MC10g10198	1172	974
MvSl-1064-A2-R4_MC10g10199	4789	5934
MvSl-1064-A2-R4_MC10g10200	990	908
MvSl-1064-A2-R4_MC10g10201	3149	2384
MvSl-1064-A2-R4_MC10g10202	1168.15	1044.57
MvSl-1064-A2-R4_MC10g10203	55.8753	47.3543
MvSl-1064-A2-R4_MC10g10204	85.2429	145.669
MvSl-1064-A2-R4_MC10g10205	61.4987	80.5577
MvSl-1064-A2-R4_MC10g10206	2646.41	2884.81
MvSl-1064-A2-R4_MC10g10207	0	1
MvSl-1064-A2-R4_MC10g10208	435.476	747.586
MvSl-1064-A2-R4_MC10g10209	746	808.341
MvSl-1064-A2-R4_MC10g10210	50	48
MvSl-1064-A2-R4_MC10g10211	134.777	158.388
MvSl-1064-A2-R4_MC10g10212	1172.61	1625.18
MvSl-1064-A2-R4_MC10g10213	1883.54	2374.44
MvSl-1064-A2-R4_MC10g10214	399	679
MvSl-1064-A2-R4_MC10g10215	1238	1299
MvSl-1064-A2-R4_MC10g10216	688	627
MvSl-1064-A2-R4_MC10g10217	3075	2747
MvSl-1064-A2-R4_MC10g10218	2357	4345
MvSl-1064-A2-R4_MC10g10219	8393	7001
MvSl-1064-A2-R4_MC10g10220	5825	5629
MvSl-1064-A2-R4_MC10g10221	2223	2076
MvSl-1064-A2-R4_MC10g10222	50419	71636
MvSl-1064-A2-R4_MC10g10223	514	642
MvSl-1064-A2-R4_MC10g10224	1832	1266
MvSl-1064-A2-R4_MC10g10225	2188	1493
MvSl-1064-A2-R4_MC10g10226	222	305
MvSl-1064-A2-R4_MC10g10227	337	462
MvSl-1064-A2-R4_MC10g10228	2685	3737
MvSl-1064-A2-R4_MC10g10229	140	243
MvSl-1064-A2-R4_MC10g10230	1868	2254
MvSl-1064-A2-R4_MC10g10231	2720	3762
MvSl-1064-A2-R4_MC10g10232	3471	4633
MvSl-1064-A2-R4_MC10g10233	2187	1701
MvSl-1064-A2-R4_MC10g10234	27	35
MvSl-1064-A2-R4_MC10g10235	1.00802	5.01947
MvSl-1064-A2-R4_MC10g10236	21.1435	25.1643
MvSl-1064-A2-R4_MC10g10237	4.18466	4.10136
MvSl-1064-A2-R4_MC10g10238	0	0
MvSl-1064-A2-R4_MC10g10239	0	1
MvSl-1064-A2-R4_MC10g10240	1948	1696
MvSl-1064-A2-R4_MC10g10241	4109	4326
MvSl-1064-A2-R4_MC10g10242	4016	3588
MvSl-1064-A2-R4_MC10g10243	167	160
MvSl-1064-A2-R4_MC10g10244	100	116
MvSl-1064-A2-R4_MC10g10245	2205	1829
MvSl-1064-A2-R4_MC10g10246	0	0
MvSl-1064-A2-R4_MC10g10247	2060	1849
MvSl-1064-A2-R4_MC10g10248	1322	1133
MvSl-1064-A2-R4_MC10g10249	1009	805
MvSl-1064-A2-R4_MC10g10250	341	607
MvSl-1064-A2-R4_MC10g10251	34637	27589
MvSl-1064-A2-R4_MC10g10252	2504	2566
MvSl-1064-A2-R4_MC10g10253	1984	2240
MvSl-1064-A2-R4_MC10g10254	4412	3203
MvSl-1064-A2-R4_MC10g10255	10.5928	7.52007
MvSl-1064-A2-R4_MC10g10256	964.65	772.88
MvSl-1064-A2-R4_MC10g10257	1502	1463
MvSl-1064-A2-R4_MC10g10258	18	31
MvSl-1064-A2-R4_MC10g10259	317	353
MvSl-1064-A2-R4_MC10g10260	46	38
MvSl-1064-A2-R4_MC10g10261	2271	1910
MvSl-1064-A2-R4_MC10g10262	6343	6537
MvSl-1064-A2-R4_MC10g10263	719	576
MvSl-1064-A2-R4_MC10g10264	578.404	505.214
MvSl-1064-A2-R4_MC10g10265	28.4423	46.7504
MvSl-1064-A2-R4_MC10g10266	137.775	159.134
MvSl-1064-A2-R4_MC10g10267	10420	9926
MvSl-1064-A2-R4_MC10g10268	1936	1640
MvSl-1064-A2-R4_MC10g10269	4964	4719
MvSl-1064-A2-R4_MC10g10270	3669	1682
MvSl-1064-A2-R4_MC10g10271	6558	4923
MvSl-1064-A2-R4_MC10g10272	3395	3600
MvSl-1064-A2-R4_MC10g10273	3767	3930
MvSl-1064-A2-R4_MC10g10274	46	49
MvSl-1064-A2-R4_MC10g10275	12307	13172
MvSl-1064-A2-R4_MC10g10276	5696	5226
MvSl-1064-A2-R4_MC10g10277	632	1096
MvSl-1064-A2-R4_MC10g10278	3712	2815
MvSl-1064-A2-R4_MC10g10279	3789	4178
MvSl-1064-A2-R4_MC10g10280	4094	2393
MvSl-1064-A2-R4_MC10g10281	416	423
MvSl-1064-A2-R4_MC10g10282	919	851
MvSl-1064-A2-R4_MC10g10283	3858	3330
MvSl-1064-A2-R4_MC10g10284	4	3
MvSl-1064-A2-R4_MC10g10285	1690	1420
MvSl-1064-A2-R4_MC10g10286	1964	2078
MvSl-1064-A2-R4_MC10g10287	0	1
MvSl-1064-A2-R4_MC10g10288	0	2
MvSl-1064-A2-R4_MC10g10289	854	905
MvSl-1064-A2-R4_MC10g10290	2755	2284
MvSl-1064-A2-R4_MC10g10291	1687	1144
MvSl-1064-A2-R4_MC10g10292	515	581
MvSl-1064-A2-R4_MC10g10293	2937	2294
MvSl-1064-A2-R4_MC10g10294	5148	4240
