gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	bias
MvSl-1064-A1-R4_MC05-1g06164	MvSl-1064-A1-R4_MC05-1	Chr05	56477	57173	1.967763798	2.787799389	2.27E-11	1.35E-09	a1
MvSl-1064-A1-R4_MC10-1g09803	MvSl-1064-A1-R4_MC10-1	Chr10	278595	279408	2.649387799	2.808228437	1.73E-10	9.34E-09	a1
MvSl-1064-A1-R4_MC01-2g02960	MvSl-1064-A1-R4_MC01-2	Chr01	2533966	2535470	8.98160372	2.87796983	4.34E-24	5.63E-22	a1
MvSl-1064-A1-R4_MC08g08800	MvSl-1064-A1-R4_MC08	Chr08	1353520	1356257	0.722463561	2.90765464	2.02E-05	0.000525997	a1
MvSl-1064-A1-R4_MC01-1g02870	MvSl-1064-A1-R4_MC01-1	Chr01	2328123	2333632	2.896040511	2.909305747	1.23E-14	1.01E-12	a1
MvSl-1064-A1-R4_MC11g10617	MvSl-1064-A1-R4_MC11	Chr11	1110845	1113375	4.172432066	2.919051001	1.26E-19	1.41E-17	a1
MvSl-1064-A1-R4_MC11g10647	MvSl-1064-A1-R4_MC11	Chr11	1198955	1199307	3.629124807	2.921963186	9.54E-17	9.48E-15	a1
MvSl-1064-A1-R4_MC10-1g09827	MvSl-1064-A1-R4_MC10-1	Chr10	302529	305064	0.754171533	2.9356142	7.11E-08	2.69E-06	a1
MvSl-1064-A1-R4_MC06g07032	MvSl-1064-A1-R4_C24	random	39986	41872	2.999144651	2.952178564	3.85E-12	2.52E-10	a1
MvSl-1064-A1-R4_MC14g11962	MvSl-1064-A1-R4_MC14	Chr14	532089	535474	5.830845739	2.963976662	9.93E-36	2.30E-33	a1
MvSl-1064-A1-R4_MC05-2g06438	MvSl-1064-A1-R4_MC05-2	Chr05	274678	276195	6.508123474	2.967757884	3.02E-28	4.79E-26	a1
MvSl-1064-A1-R4_MC04-1g05313	MvSl-1064-A1-R4_MC04-1	Chr04	55965	58043	3.243034856	2.983108569	1.06E-13	8.09E-12	a1
MvSl-1064-A1-R4_MC03g04424	MvSl-1064-A1-R4_MC03	Chr03	404345	405628	4.967195115	3.05218518	3.43E-30	6.38E-28	a1
MvSl-1064-A1-R4_MC07g07850	MvSl-1064-A1-R4_MC07	Chr07	740104	743065	1.218267338	3.069014089	9.10E-10	4.35E-08	a1
MvSl-1064-A1-R4_MC14g11878	MvSl-1064-A1-R4_MC14	Chr14	341003	341770	0.073481276	3.084526249	6.11E-07	2.02E-05	a1
MvSl-1064-A1-R4_MC05-2g06335	MvSl-1064-A1-R4_MC05-2	Chr05	200561	204281	5.158497303	3.089655278	2.86E-26	4.45E-24	a1
MvSl-1064-A1-R4_A1g01007	MvSl-1064-A1-R4_A1	aMAT	1400757	1402594	5.551066322	3.100208392	7.75E-33	1.66E-30	a1
MvSl-1064-A1-R4_MC01-1g01783	MvSl-1064-A1-R4_MC01-1	Chr01	107424	108928	1.670533368	3.179057277	5.64E-11	3.21E-09	a1
MvSl-1064-A1-R4_MC04-1g05437	MvSl-1064-A1-R4_MC04-1	Chr04	329838	336992	1.769787212	3.227926308	1.09E-12	7.54E-11	a1
MvSl-1064-A1-R4_MC11g10186	MvSl-1064-A1-R4_MC11	Chr11	68118	72083	1.561002567	3.292341455	4.89E-12	3.17E-10	a1
MvSl-1064-A1-R4_A1g01418	MvSl-1064-A1-R4_A1	aMAT	1151741	1153580	3.681246951	3.351221404	4.10E-19	4.50E-17	a1
MvSl-1064-A1-R4_MC10-1g09822	MvSl-1064-A1-R4_MC10-1	Chr10	299656	302127	0.464469447	3.354716109	6.94E-09	2.95E-07	a1
MvSl-1064-A1-R4_MC06g07297	MvSl-1064-A1-R4_MC06	Chr06	1176406	1177519	1.217816975	3.364025075	1.91E-06	5.85E-05	a1
MvSl-1064-A1-R4_A1g01220	MvSl-1064-A1-R4_A1	aMAT	2575916	2576612	7.468211439	3.396664551	9.23E-53	4.64E-50	a1
MvSl-1064-A1-R4_MC03g05022	MvSl-1064-A1-R4_MC03	Chr03	1847049	1847753	4.301879555	3.407276008	2.10E-25	2.95E-23	a1
MvSl-1064-A1-R4_MC02g03663	MvSl-1064-A1-R4_MC02	Chr02	1191973	1193730	1.351177029	3.428231195	5.01E-08	1.92E-06	a1
MvSl-1064-A1-R4_MC04-1g05389	MvSl-1064-A1-R4_MC04-1	Chr04	201540	202270	1.178924801	3.436033959	7.34E-11	4.13E-09	a1
MvSl-1064-A1-R4_MC08g08311	MvSl-1064-A1-R4_MC08	Chr08	148462	150755	5.425151267	3.48446359	2.70E-42	9.60E-40	a1
MvSl-1064-A1-R4_MC03g04884	MvSl-1064-A1-R4_MC03	Chr03	1524735	1525630	0.997693093	3.487763833	3.63E-10	1.85E-08	a1
MvSl-1064-A1-R4_MC15g12148	MvSl-1064-A1-R4_MC15	Chr15	343988	344673	1.364667243	3.539818991	8.96E-13	6.23E-11	a1
MvSl-1064-A1-R4_MC11g10686	MvSl-1064-A1-R4_MC11	Chr11	1291550	1292525	1.066380131	3.561324445	6.79E-11	3.84E-09	a1
MvSl-1064-A1-R4_MC02g04245	MvSl-1064-A1-R4_MC02	Chr02	2560247	2562613	5.51559217	3.568390977	9.33E-41	2.75E-38	a1
MvSl-1064-A1-R4_MC18g12262	MvSl-1064-A1-R4_MC18	Chr18	30731	36545	4.887312416	3.600671827	1.93E-31	3.84E-29	a1
MvSl-1064-A1-R4_A1g01163	MvSl-1064-A1-R4_A1	aMAT	1297181	1298512	4.000940946	3.617225151	5.65E-30	9.85E-28	a1
MvSl-1064-A1-R4_MC01-2g03166	MvSl-1064-A1-R4_MC02	Chr02	1	793	6.29110169	3.777867735	5.88E-30	1.01E-27	a1
MvSl-1064-A1-R4_MC09-2g09566	MvSl-1064-A1-R4_MC10-1	Chr10	11976	14195	2.190122709	3.777916732	1.82E-10	9.66E-09	a1
MvSl-1064-A1-R4_MC01-2g02969	MvSl-1064-A1-R4_MC01-2	Chr01	2551682	2553176	1.811111339	3.836313458	1.20E-15	1.08E-13	a1
MvSl-1064-A1-R4_MC08g08369	MvSl-1064-A1-R4_MC08	Chr08	321102	322279	4.673939168	3.920386229	5.46E-42	1.87E-39	a1
MvSl-1064-A1-R4_MC13g11558	MvSl-1064-A1-R4_MC13	Chr13	635916	636083	4.624593895	3.920682846	1.62E-25	2.30E-23	a1
MvSl-1064-A1-R4_MC01-1g02885	MvSl-1064-A1-R4_MC01-1	Chr01	2382803	2384819	1.080464856	4.060510593	1.90E-13	1.40E-11	a1
MvSl-1064-A1-R4_MC03g04760	MvSl-1064-A1-R4_MC03	Chr03	1218516	1220123	0.905965344	4.062554469	8.58E-12	5.28E-10	a1
MvSl-1064-A1-R4_MC04-1g05833	MvSl-1064-A1-R4_MC04-1	Chr04	1299353	1300536	4.897929805	4.106005149	9.62E-42	3.16E-39	a1
MvSl-1064-A1-R4_MC03g05134	MvSl-1064-A1-R4_MC03	Chr03	2130759	2136537	0.758317278	4.124870169	3.64E-10	1.85E-08	a1
MvSl-1064-A1-R4_MC01-1g02004	MvSl-1064-A1-R4_MC01-1	Chr01	379579	380191	2.199764694	4.168341743	5.70E-19	6.09E-17	a1
MvSl-1064-A1-R4_MC12g11139	MvSl-1064-A1-R4_MC12	Chr12	985207	991308	2.564482448	4.251451781	8.00E-21	9.37E-19	a1
MvSl-1064-A1-R4_MC03g05097	MvSl-1064-A1-R4_MC03	Chr03	2054587	2059584	4.079858089	4.287244089	1.31E-36	3.39E-34	a1
MvSl-1064-A1-R4_MC13g11612	MvSl-1064-A1-R4_MC13	Chr13	763339	763589	3.517047267	4.338193165	1.58E-25	2.29E-23	a1
MvSl-1064-A1-R4_A1g01021	MvSl-1064-A1-R4_A1	aMAT	1578575	1582088	0.474419236	4.38716508	9.01E-11	5.00E-09	a1
MvSl-1064-A1-R4_MC03g04707	MvSl-1064-A1-R4_MC03	Chr03	1089857	1091821	5.392705339	4.42885232	2.10E-57	1.20E-54	a1
MvSl-1064-A1-R4_A1g00283	MvSl-1064-A1-R4_A1	aMAT	2725136	2725813	4.281422989	4.449535004	7.83E-39	2.16E-36	a1
MvSl-1064-A1-R4_MC04-1g05803	MvSl-1064-A1-R4_MC04-1	Chr04	1237345	1237580	0.571105655	4.496130829	3.13E-12	2.08E-10	a1
MvSl-1064-A1-R4_MC06g07138	MvSl-1064-A1-R4_MC06	Chr06	751375	753633	10.19101875	4.561588205	1.40E-36	3.52E-34	a1
MvSl-1064-A1-R4_MC04-1g05832	MvSl-1064-A1-R4_MC04-1	Chr04	1298642	1299283	1.458209676	4.670637681	7.40E-16	6.96E-14	a1
MvSl-1064-A1-R4_MC12g10807	MvSl-1064-A1-R4_MC12	Chr12	163948	164272	1.856390069	4.741697158	1.03E-15	9.55E-14	a1
MvSl-1064-A1-R4_MC04-1g06027	MvSl-1064-A1-R4_MC04-1	Chr04	1744862	1749659	1.135503313	4.799070086	3.11E-12	2.07E-10	a1
MvSl-1064-A1-R4_MC10-1g09730	MvSl-1064-A1-R4_MC10-1	Chr10	193004	193818	5.982856328	4.870518345	2.70E-84	2.88E-81	a1
MvSl-1064-A1-R4_MC01-2g03096	MvSl-1064-A1-R4_MC01-2	Chr01	2862188	2867899	4.182573109	4.964591213	1.12E-46	4.57E-44	a1
MvSl-1064-A1-R4_A1g00029	MvSl-1064-A1-R4_A1	aMAT	59218	59891	6.297648826	4.988993955	1.54E-87	1.88E-84	a1
MvSl-1064-A1-R4_A1g00642	MvSl-1064-A1-R4_A1	aMAT	1645733	1648754	6.20721473	5.102816982	1.06E-97	2.26E-94	a1
MvSl-1064-A1-R4_MC02g03579	MvSl-1064-A1-R4_MC02	Chr02	974889	975798	6.679898125	5.13562295	6.40E-82	6.08E-79	a1
MvSl-1064-A1-R4_MC04-1g05282	MvSl-1064-A1-R4_MC04-1	Chr04	16788	17024	3.05924008	5.175785008	2.74E-32	5.72E-30	a1
MvSl-1064-A1-R4_MC03g04877	MvSl-1064-A1-R4_MC03	Chr03	1504690	1506478	0.966498436	5.334386647	2.70E-16	2.62E-14	a1
MvSl-1064-A1-R4_A1g01459	MvSl-1064-A1-R4_A1	aMAT	3256296	3256583	0.60440484	5.483609744	2.93E-14	2.35E-12	a1
MvSl-1064-A1-R4_A1g01162	MvSl-1064-A1-R4_A1	aMAT	1294048	1294371	2.364437833	5.639008765	1.34E-25	2.01E-23	a1
MvSl-1064-A1-R4_MC04-1g05315	MvSl-1064-A1-R4_MC04-1	Chr04	59297	59753	3.002029932	5.661959534	1.23E-29	2.07E-27	a1
MvSl-1064-A1-R4_MC09-2g09067	MvSl-1064-A1-R4_MC09-2	Chr09	342285	345006	4.409488434	5.758129797	1.52E-41	4.80E-39	a1
MvSl-1064-A1-R4_MC01-1g02832	MvSl-1064-A1-R4_MC01-1	Chr01	2224752	2226292	9.013904198	5.803490373	4.04E-65	3.14E-62	a1
MvSl-1064-A1-R4_A1g01302	MvSl-1064-A1-R4_A1	aMAT	2775123	2776609	6.148703738	6.307186831	4.82E-106	2.06E-102	a1
MvSl-1064-A1-R4_MC11g10576	MvSl-1064-A1-R4_MC11	Chr11	1017295	1019497	7.506970083	7.060461854	9.53E-92	1.36E-88	a1
MvSl-1064-A1-R4_MC01-2g03006	MvSl-1064-A1-R4_MC01-2	Chr01	2639620	2640860	3.482810008	7.968465271	3.83E-49	1.72E-46	a1
MvSl-1064-A1-R4_MC15g12144	MvSl-1064-A1-R4_MC15	Chr15	338080	339343	2.128334011	7.970795062	5.29E-30	9.41E-28	a1
MvSl-1064-A1-R4_MC03g04706	MvSl-1064-A1-R4_MC03	Chr03	1088463	1089617	0.508895323	8.665064922	1.76E-13	1.32E-11	a1
MvSl-1064-A1-R4_MC01-1g02207	MvSl-1064-A1-R4_MC01-1	Chr01	720371	720718	0.755689079	8.932894877	1.10E-08	4.57E-07	a1
MvSl-1064-A1-R4_MC01-1g02833	MvSl-1064-A1-R4_MC01-1	Chr01	2227350	2228536	7.051994066	9.426932841	1.46E-179	1.24E-175	a1
MvSl-1064-A1-R4_MC03g04350	MvSl-1064-A1-R4_MC03	Chr03	214412	216650	3.820249795	9.706419946	1.06E-59	6.48E-57	a1
MvSl-1064-A1-R4_MC06g07295	MvSl-1064-A1-R4_MC06	Chr06	1171961	1172863	1.620812589	9.850540835	1.84E-21	2.22E-19	a1
MvSl-1064-A1-R4_MC09-2g09144	MvSl-1064-A1-R4_MC09-2	Chr09	532912	536762	7.196608394	11.71176652	5.36E-104	1.53E-100	a1
