gida1	dnds	dn	ds	gida2	dnds	dn	ds
	MvSl-1064-A2-R4_MC11g10639	0.001	0	0.336	0.0024	0.0071	
	MvSl-1064-A2-R4_MC11g10640	0.336	0.0024	0.6264	0.0067	0.0107	
	MvSl-1064-A2-R4_MC11g10641	0.6264	0.0067	0.1161	0.002	0.0174	
	MvSl-1064-A2-R4_MC11g10642	0.1161	0.002	0.3992	0.0027	0.0068	
	MvSl-1064-A2-R4_MC11g10643	0.3992	0.0027	0.75	0.0059	0.0078	
	MvSl-1064-A2-R4_MC11g10644	0.75	0.0059	0.2583	0.0009	0.0035	
	MvSl-1064-A2-R4_MC11g10645	0.2583	0.0009	0.7058	0.0129	0.0182	
	MvSl-1064-A2-R4_MC11g10646	0.7058	0.0129	0.6531	0.0072	0.011	
	MvSl-1064-A2-R4_MC11g10648	0.6531	0.0072	0.0419	0.0008	0.0184	
	MvSl-1064-A2-R4_MC11g10649	0.0419	0.0008	0.7538	0.0052	0.0069	
	MvSl-1064-A2-R4_MC11g10650	0.7538	0.0052	0.7591	0.0066	0.0087	
	MvSl-1064-A2-R4_MC11g10651	0.7591	0.0066	0.3005	0.0024	0.0078	
	MvSl-1064-A2-R4_MC11g10653	0.3005	0.0024	0.001	0	0.0073	
	MvSl-1064-A2-R4_MC11g10654	0.001	0	98.9996	0.0131	0.0001	
	MvSl-1064-A2-R4_MC11g10655	98.9996	0.0131	1.3241	0.0048	0.0036	
	MvSl-1064-A2-R4_MC11g10657	1.3241	0.0048	98.9996	0.0036	0	
	MvSl-1064-A2-R4_MC11g10658	98.9996	0.0036	1.2608	0.0055	0.0043	
	MvSl-1064-A2-R4_MC11g10659	1.2608	0.0055	0.5394	0.0052	0.0096	
	MvSl-1064-A2-R4_MC11g10660	0.5394	0.0052	3.5414	0.007	0.002	
	MvSl-1064-A2-R4_MC11g10661	3.5414	0.007	0.001	0	0	
	MvSl-1064-A2-R4_MC11g10662	0.4882	0	1.9011	0.0123	0.0065	
	MvSl-1064-A2-R4_MC11g10663	1.9011	0.0123	0.4272	0.0079	0.0186	
	MvSl-1064-A2-R4_MC11g10664	0.4272	0.0079	1.0128	0.0021	0.0021	
	MvSl-1064-A2-R4_MC11g10665	1.0129	0.0021	0.1296	0.0018	0.014	
	MvSl-1064-A2-R4_MC11g10666	0.1296	0.0018	98.9996	0.0026	0	
	MvSl-1064-A2-R4_MC11g10667	98.9996	0.0026	0.458	0.0051	0.0111	
	MvSl-1064-A2-R4_MC11g10668	0.458	0.0051	0.3003	0.002	0.0068	
	MvSl-1064-A2-R4_MC11g10670	0.3003	0.002	0.815	0.0057	0.007	
	MvSl-1064-A2-R4_MC11g10671	0.815	0.0057	0.4183	0.0039	0.0094	
	MvSl-1064-A2-R4_MC11g10672	0.4184	0.0039	0.6876	0.0024	0.0034	
	MvSl-1064-A2-R4_MC11g10673	0.6876	0.0024	0.1205	0.0015	0.0127	
	MvSl-1064-A2-R4_MC11g10674	0.1205	0.0015	1.3582	0.0068	0.005	
	MvSl-1064-A2-R4_MC11g10675	1.3582	0.0068	0.1341	0.0019	0.0139	
	MvSl-1064-A2-R4_MC11g10676	0.1341	0.0019	0.8981	0.0066	0.0074	
	MvSl-1064-A2-R4_MC11g10677	0.8981	0.0066	98.9996	0.0065	0.0001	
	MvSl-1064-A2-R4_MC11g10678	98.9996	0.0065	0.1716	0.0015	0.009	
	MvSl-1064-A2-R4_MC11g10679	0.1716	0.0015	0.3175	0.003	0.0093	
	MvSl-1064-A2-R4_MC11g10680	0.3175	0.003	0.0479	0.0005	0.0102	
	MvSl-1064-A2-R4_MC11g10681	0.0479	0.0005	0.358	0.0054	0.015	
	MvSl-1064-A2-R4_MC11g10682	0.358	0.0054	0.3364	0.0056	0.0165	
	MvSl-1064-A2-R4_MC11g10683	0.3364	0.0056	0.001	0	0.0126	
	MvSl-1064-A2-R4_MC11g10684	0.001	0	0.3542	0.0037	0.0105	
	MvSl-1064-A2-R4_MC11g10686	0.3542	0.0037	0.2009	0.003	0.0151	
	MvSl-1064-A2-R4_MC11g10687	0.2009	0.003	0.6085	0.0062	0.0102	
	MvSl-1064-A2-R4_MC11g10688	0.6085	0.0062	0.5593	0.0029	0.0052	
	MvSl-1064-A2-R4_MC11g10689	0.5593	0.0029	0.077	0.001	0.0124	
	MvSl-1064-A2-R4_MC11g10690	0.077	0.001	0.4533	0.0046	0.0101	
	MvSl-1064-A2-R4_MC11g10691	0.4533	0.0046	0.7006	0.0102	0.0146	
	MvSl-1064-A2-R4_MC11g10692	0.7006	0.0102	0.3109	0.0026	0.0083	
	MvSl-1064-A2-R4_MC11g10693	0.3109	0.0026	0.6839	0.0041	0.006	
	MvSl-1064-A2-R4_MC11g10694	0.6839	0.0041	0.001	0	0.0137	
	MvSl-1064-A2-R4_MC11g10695	0.001	0	1.5373	0.0138	0.009	
	MvSl-1064-A2-R4_MC11g10696	1.5373	0.0138	98.9996	0.0102	0.0001	
	MvSl-1064-A2-R4_MC11g10697	98.9996	0.0102	0.0864	0.0008	0.0098	
	MvSl-1064-A2-R4_MC11g10698	0.0864	0.0008	0.2339	0.0028	0.012	
	MvSl-1064-A2-R4_MC11g10699	0.2339	0.0028	0.6162	0.0193	0.0314	
	MvSl-1064-A2-R4_MC11g10700	0.892	0.0172	0.6353	0.0077	0.0121	
	MvSl-1064-A2-R4_MC11g10704	0.6353	0.0077	0.5078	0.0045	0.0089	
	MvSl-1064-A2-R4_MC11g10705	0.5078	0.0045	0.8503	0.0041	0.0048	
	MvSl-1064-A2-R4_MC11g10706	0.8503	0.0041	0.1033	0.0015	0.0146	
	MvSl-1064-A2-R4_MC11g10707	0.1033	0.0015	1.3089	0.0023	0.0018	
	MvSl-1064-A2-R4_MC11g10708	1.309	0.0023	0.4673	0.0037	0.008	
	MvSl-1064-A2-R4_MC11g10709	0.4674	0.0037	0.2061	0.0015	0.0071	
	MvSl-1064-A2-R4_MC11g10710	0.2061	0.0015	0.4215	0.007	0.0166	
	MvSl-1064-A2-R4_MC11g10711	0.4215	0.007	0.001	0	0.0099	
	MvSl-1064-A2-R4_MC11g10712	0.001	0	0.2353	0.0061	0.0261	
	MvSl-1064-A2-R4_MC11g10713	0.2353	0.0061	0.7823	0.0076	0.0098	
	MvSl-1064-A2-R4_MC11g10714	0.7823	0.0076	0.474	0.0031	0.0066	
	MvSl-1064-A2-R4_MC11g10715	0.474	0.0031	0.7643	0.0094	0.0123	
	MvSl-1064-A2-R4_MC11g10716	0.7643	0.0094	0.3853	0.004	0.0104	
	MvSl-1064-A2-R4_MC11g10717	0.3853	0.004	1.4232	0.004	0.0028	
	MvSl-1064-A2-R4_MC11g10718	1.4232	0.004	0.1751	0.0011	0.0062	
	MvSl-1064-A2-R4_MC11g10719	0.1751	0.0011	0.1815	0.0031	0.017	
	MvSl-1064-A2-R4_MC11g10720	0.1815	0.0031	0.7789	0.0041	0.0053	
	MvSl-1064-A2-R4_MC11g10721	0.7789	0.0041	1.0248	0.0072	0.0071	
	MvSl-1064-A2-R4_MC11g10722	1.0248	0.0072	0.8784	0.0083	0.0095	
	MvSl-1064-A2-R4_MC11g10723	0.8784	0.0083	0.4825	0.0037	0.0076	
	MvSl-1064-A2-R4_MC11g10724	0.4825	0.0037	0.2728	0.0045	0.0166	
	MvSl-1064-A2-R4_MC11g10725	0.2729	0.0045	0.8636	0.0036	0.0042	
	MvSl-1064-A2-R4_MC11g10726	0.8636	0.0036	0.0682	0.0008	0.0113	
	MvSl-1064-A2-R4_MC11g10727	0.0682	0.0008	0.401	0.0045	0.0111	
	MvSl-1064-A2-R4_MC11g10728	0.401	0.0045	0.001	0	0.0049	
	MvSl-1064-A2-R4_MC11g10729	0.001	0	0.3232	0.0043	0.0132	
	MvSl-1064-A2-R4_MC11g10730	0.3232	0.0043	0.3889	0.0103	0.0265	
	MvSl-1064-A2-R4_MC11g10731	0.3889	0.0103	0.1551	0.0041	0.0263	
	MvSl-1064-A2-R4_MC11g10732	0.1551	0.0041	0.825	0.004	0.0048	
	MvSl-1064-A2-R4_MC11g10733	0.825	0.004	0.5152	0	0	
	MvSl-1064-A2-R4_MC11g10734	0.001	0	1.5352	0.0029	0.0019	
	MvSl-1064-A2-R4_MC11g10735	1.5352	0.0029	0.4304	0.0049	0.0114	
	MvSl-1064-A2-R4_MC11g10736	0.4304	0.0049	0.3789	0.0048	0.0126	
	MvSl-1064-A2-R4_MC11g10737	0.3789	0.0048	0.3006	0.0087	0.0291	
	MvSl-1064-A2-R4_MC11g10738	0.3426	0.0087	0.5841	0.0039	0.0067	
	MvSl-1064-A2-R4_MC11g10739	0.5841	0.0039	0.474	0.0025	0.0053	
	MvSl-1064-A2-R4_MC11g10740	0.474	0.0025	0.5029	0.0463	0.0921	
	MvSl-1064-A2-R4_MC11g10743	0.5029	0.0463	0.432	0.0043	0.01	
	MvSl-1064-A2-R4_MC11g10744	0.432	0.0043	0.3076	0.0024	0.0079	
	MvSl-1064-A2-R4_MC11g10746	0.3076	0.0024	0.2121	0.0034	0.016	
	MvSl-1064-A2-R4_MC11g10747	0.2121	0.0034	0.191	0.0033	0.0171	
	MvSl-1064-A2-R4_MC11g10748	0.191	0.0033	0.184	0.0024	0.0132	
	MvSl-1064-A2-R4_MC11g10751	0.184	0.0024	0.8161	0.0063	0.0078	
	MvSl-1064-A2-R4_MC11g10752	0.8161	0.0063	0.2938	0.0017	0.0059	
	MvSl-1064-A2-R4_MC11g10753	0.2938	0.0017	0.3078	0.0068	0.0222	
	MvSl-1064-A2-R4_MC11g10754	0.3078	0.0068	0.3532	0.0034	0.0097	
	MvSl-1064-A2-R4_MC11g10755	0.3532	0.0034	0.7288	0.0125	0.0172	
	MvSl-1064-A2-R4_MC11g10756	0.7288	0.0125	0.001	0	0.0171	
	MvSl-1064-A2-R4_MC11g10757	0.001	0	0.1845	0.0019	0.0103	
	MvSl-1064-A2-R4_MC11g10759	0.1845	0.0019	0.2745	0.0025	0.0092	
	MvSl-1064-A2-R4_MC11g10760	0.2745	0.0025	0.4604	0.0041	0.0089	
	MvSl-1064-A2-R4_MC11g10761	0.4604	0.0041	1.945	0.0083	0.0043	
	MvSl-1064-A2-R4_MC11g10762	1.945	0.0083	98.9996	0.0056	0.0001	
	MvSl-1064-A2-R4_MC11g10763	98.9996	0.0056	0.2133	0.0028	0.0131	
	MvSl-1064-A2-R4_MC11g10764	0.2133	0.0028	1.0352	0.005	0.0048	
	MvSl-1064-A2-R4_MC11g10765	1.0352	0.005	0.6381	0.01	0.0156	
	MvSl-1064-A2-R4_MC11g10766	0.6381	0.01	0.3925	0.0043	0.0111	
	MvSl-1064-A2-R4_MC11g10767	0.3925	0.0043	1.4139	0.0072	0.0051	
	MvSl-1064-A2-R4_MC11g10768	1.414	0.0072	0.672	0.0036	0.0054	
	MvSl-1064-A2-R4_MC11g10769	0.672	0.0036	1.0931	0.0025	0.0023	
	MvSl-1064-A2-R4_MC11g10770	1.0931	0.0025	0.2778	0.0031	0.0111	
	MvSl-1064-A2-R4_MC11g10771	0.2778	0.0031	0.1927	0.0033	0.0172	
	MvSl-1064-A2-R4_MC11g10772	0.1927	0.0033	0.3294	0.0032	0.0097	
	MvSl-1064-A2-R4_MC11g10773	0.3294	0.0032	0.7072	0.0037	0.0053	
	MvSl-1064-A2-R4_MC11g10774	0.7072	0.0037	1.0544	0.0042	0.004	
	MvSl-1064-A2-R4_MC11g10775	1.0543	0.0042	0.2161	0.0013	0.0061	
	MvSl-1064-A2-R4_MC11g10778	0.2161	0.0013	0.6551	0.0076	0.0115	
	MvSl-1064-A2-R4_MC11g10779	0.6551	0.0076	0.8519	0.004	0.0047	
	MvSl-1064-A2-R4_MC11g10782	0.8519	0.004	0.1358	0.0007	0.0055	
	MvSl-1064-A2-R4_MC11g10783	0.1358	0.0007	0.5051	0.0035	0.0069	
	MvSl-1064-A2-R4_MC11g10784	0.5051	0.0035	98.9996	0.008	0.0001	
	MvSl-1064-A2-R4_MC11g10785	98.9996	0.008	0.2195	0.0017	0.0078	
	MvSl-1064-A2-R4_MC11g10787	0.2195	0.0017	0.001	0	0.0096	
	MvSl-1064-A2-R4_MC11g10788	0.001	0	98.9996	0.0034	0	
	MvSl-1064-A2-R4_MC11g10789	98.9996	0.0034	0.3997	0	0	
	MvSl-1064-A2-R4_MC11g10790	0.001	0	1.4621	0.0041	0.0028	
	MvSl-1064-A2-R4_MC11g10791	1.4621	0.0041	0.3999	0.0036	0.009	
	MvSl-1064-A2-R4_MC11g10792	0.4	0.0036	0.2731	0.0043	0.0157	
	MvSl-1064-A2-R4_MC11g10793	0.2731	0.0043	0.0378	0.0002	0.0065	
	MvSl-1064-A2-R4_MC11g10794	0.0378	0.0002	0.5699	0.0023	0.004	
	MvSl-1064-A2-R4_MC11g10795	0.5698	0.0023	0.4503	0	0	
	MvSl-1064-A2-R4_MC11g10796	0.3456	0	0.115	0.0023	0.0198	
	MvSl-1064-A2-R4_MC11g10797	0.115	0.0023	0.1649	0.0042	0.0252	
	MvSl-1064-A2-R4_MC11g10798	0.1649	0.0042	1.3486	0.0091	0.0067	
	MvSl-1064-A2-R4_MC11g10799	1.3486	0.0091	0.0671	0.0007	0.0112	
	MvSl-1064-A2-R4_MC11g10800	0.0671	0.0007	0.271	0	0	
	MvSl-1064-A2-R4_MC11g10801	0.001	0	0.5315	0.0037	0.007	
	MvSl-1064-A2-R4_MC11g10802	0.5315	0.0037	0.5086	0.0032	0.0064	
	MvSl-1064-A2-R4_MC11g10803	0.5086	0.0032	0.1308	0.0017	0.013	
	MvSl-1064-A2-R4_MC11g10804	0.1308	0.0017	0.0808	0.0012	0.0153	
	MvSl-1064-A2-R4_MC11g10805	0.0808	0.0012	0.302	0.0033	0.0108	
	MvSl-1064-A2-R4_MC11g10806	0.302	0.0033	0.1089	0.0014	0.0128	
	MvSl-1064-A2-R4_MC11g10807	0.1089	0.0014	98.9996	0.0023	0	
	MvSl-1064-A2-R4_MC11g10808	98.9996	0.0023	0.3973	0.0039	0.0098	
	MvSl-1064-A2-R4_MC11g10809	0.3973	0.0039	0.3507	0.0039	0.0112	
	MvSl-1064-A2-R4_MC11g10810	0.3507	0.0039	98.9996	0.0155	0.0002	
	MvSl-1064-A2-R4_MC11g10811	98.9996	0.0155	0.4323	0.0048	0.011	
	MvSl-1064-A2-R4_MC11g10812	0.4323	0.0048	0.4517	0	0	
	MvSl-1064-A2-R4_MC11g10813	0.5198	0	0.001	0	0.0144	
	MvSl-1064-A2-R4_MC11g10814	0.001	0	98.9996	0.0073	0.0001	
	MvSl-1064-A2-R4_MC11g10815	98.9996	0.0073	1.1838	0.0043	0.0036	
	MvSl-1064-A2-R4_MC11g10822	1.1838	0.0043	0.0777	0	0	
	MvSl-1064-A2-R4_MC11g10823	0.0762	0	0.001	0	0	
	MvSl-1064-A2-R4_MC11g10824	0.4801	0	0.2539	0.0012	0.0048	
	MvSl-1064-A2-R4_MC11g10825	0.2539	0.0012	0.3771	0	0	
	MvSl-1064-A2-R4_MC11g10826	0.3803	0	0.001	0	0.0132	
	MvSl-1064-A2-R4_MC11g10827	0.001	0	0.4808	0.0014	0.0029	
	MvSl-1064-A2-R4_MC11g10828	0.4809	0.0014	98.9996	0.0045	0	
	MvSl-1064-A2-R4_MC11g10829	98.9996	0.0045	0.2776	0.003	0.0108	
	MvSl-1064-A2-R4_MC11g10830	0.2776	0.003	0.001	0	0.0134	
	MvSl-1064-A2-R4_MC11g10831	0.001	0	0.0733	0.0009	0.0125	
	MvSl-1064-A2-R4_MC11g10832	0.0733	0.0009	0.3676	0	0	
	MvSl-1064-A2-R4_MC11g10842	0.3115	0	0.6665	0.0021	0.0032	
	MvSl-1064-A2-R4_MC11g10843	0.6665	0.0021	0.9208	0.0081	0.0088	
	MvSl-1064-A2-R4_MC11g10844	0.9208	0.0081	0.001	0	0.0098	
	MvSl-1064-A2-R4_MC11g10845	0.001	0	0.2567	0.0017	0.0065	
	MvSl-1064-A2-R4_MC11g10846	0.2567	0.0017	0.2838	0.0019	0.0066	
	MvSl-1064-A2-R4_MC11g10847	0.2838	0.0019	0.3599	0.0023	0.0064	
	MvSl-1064-A2-R4_MC11g10848	0.3599	0.0023	0.3915	0.0042	0.0107	
	MvSl-1064-A2-R4_MC11g10849	0.3915	0.0042	0.3076	0.0052	0.0168	
	MvSl-1064-A2-R4_MC11g10850	0.3076	0.0052	0.8918	0.0078	0.0088	
	MvSl-1064-A2-R4_MC11g10851	0.8918	0.0078	0.4005	0.1025	0.2559	
	MvSl-1064-A2-R4_MC11g10852	0.4005	0.1025	0.2014	0.0032	0.0159	
	MvSl-1064-A2-R4_MC11g10853	0.2014	0.0032	0.4568	0.0059	0.013	
	MvSl-1064-A2-R4_MC11g10854	0.4568	0.0059	1.5777	0.0179	0.0113	
	MvSl-1064-A2-R4_MC11g10855	1.5777	0.0179	0.4242	0.0049	0.0115	
	MvSl-1064-A2-R4_MC11g10856	0.4242	0.0049	0.3611	0.0038	0.0106	
	MvSl-1064-A2-R4_MC11g10857	0.3611	0.0038	1.4129	0.003	0.0021	
	MvSl-1064-A2-R4_MC11g10858	1.4129	0.003	1.2346	0.0062	0.0051	
	MvSl-1064-A2-R4_MC11g10859	1.2346	0.0062	0.3832	0	0	
	MvSl-1064-A2-R4_MC11g10860	0.4583	0	0.4463	0.0274	0.0614	
	MvSl-1064-A2-R4_MC11g10861	0.4463	0.0274	98.9996	0.0035	0	
	MvSl-1064-A2-R4_MC11g10862	98.9996	0.0035	0.6546	0.0029	0.0045	
	MvSl-1064-A2-R4_MC11g10863	0.6546	0.0029	98.9996	0.0034	0	
	MvSl-1064-A2-R4_MC11g10864	98.9996	0.0034	0.4976	0	0	
	MvSl-1064-A2-R4_MC11g10865	0.5035	0	0.504	0	0	
	MvSl-1064-A2-R4_MC11g10867	0.001	0	98.9996	0.0014	0	
	MvSl-1064-A2-R4_MC11g10868	98.9996	0.0014	1.1962	0.0174	0.0146	
	MvSl-1064-A2-R4_MC11g10869	1.1962	0.0174	0.3421	0.0018	0.0053	
	MvSl-1064-A2-R4_MC11g10870	0.3421	0.0018	98.9996	0.0026	0	
	MvSl-1064-A2-R4_MC11g10871	98.9996	0.0026	98.9996	0.0011	0	
	MvSl-1064-A2-R4_MC11g10872	98.9996	0.0011	98.9996	0.01	0.0001	
	MvSl-1064-A2-R4_MC11g10873	98.9996	0.01	0.8451	0.005	0.006	
	MvSl-1064-A2-R4_MC11g10874	0.8451	0.005	0.4857	0.0026	0.0054	
	MvSl-1064-A2-R4_MC11g10875	0.4857	0.0026	0.4861	0.0028	0.0057	
	MvSl-1064-A2-R4_MC11g10876	0.4862	0.0028	98.9996	0.0055	0.0001	
	MvSl-1064-A2-R4_MC11g10877	98.9996	0.0055	1.8792	0.0037	0.002	
	MvSl-1064-A2-R4_MC11g10878	1.8792	0.0037	1.2603	0.0283	0.0225	
	MvSl-1064-A2-R4_MC11g10879	1.2603	0.0283	0.3542	0.0036	0.0103	
	MvSl-1064-A2-R4_MC11g10884	0.3542	0.0036	0.2362	0.002	0.0087	
	MvSl-1064-A2-R4_MC11g10885	0.2362	0.002	98.9996	0.0014	0	
	MvSl-1064-A2-R4_MC11g10886	98.9996	0.0014	0.6978	0.0134	0.0192	
	MvSl-1064-A2-R4_MC11g10896	0.6978	0.0134	98.9996	0.0014	0	
	MvSl-1064-A2-R4_MC11g10897	98.9996	0.0014	0.8448	0.0145	0.0172	
	MvSl-1064-A2-R4_MC11g10898	0.8448	0.0145	0.3786	0	0	
	MvSl-1064-A2-R4_MC11g10899	0.4329	0	1.9468	0.0069	0.0036	
	MvSl-1064-A2-R4_MC11g10900	1.9468	0.0069	0.4336	0	0	
	MvSl-1064-A2-R4_MC11g10901	0.4694	0	0.001	0	0.0142	
	MvSl-1064-A2-R4_MC11g10902	0.001	0	0.2394	0.0041	0.017	
	MvSl-1064-A2-R4_MC11g10903	0.2394	0.0041	0.2082	0.0025	0.0121	
	MvSl-1064-A2-R4_MC11g10904	0.2082	0.0025	0.0535	0.0009	0.0171	
	MvSl-1064-A2-R4_MC11g10905	0.0535	0.0009	0.001	0.0001	0.0627	
	MvSl-1064-A2-R4_MC11g10918	0.001	0.0001	98.9996	0.0188	0.0002	
	MvSl-1064-A2-R4_MC11g10919	98.9996	0.0188	0.3279	0.0033	0.0099	
	MvSl-1064-A2-R4_MC11g10927	0.3279	0.0033	98.9996	0.0044	0	
	MvSl-1064-A2-R4_MC11g10928	98.9996	0.0044	0.1426	0.0019	0.0134	
	MvSl-1064-A2-R4_MC11g10930	0.1426	0.0019	0.9326	0.005	0.0053	
	MvSl-1064-A2-R4_MC11g10931	0.9326	0.005	0.1449	0.0015	0.0104	
	MvSl-1064-A2-R4_MC11g10940	0.1449	0.0015	0.6433	0.011	0.0171	
	MvSl-1064-A2-R4_MC11g10941	0.6433	0.011	0.001	0	0.0047	
	MvSl-1064-A2-R4_MC11g10942	0.001	0	0.3252	0.0022	0.0067	
	MvSl-1064-A2-R4_MC11g10943	0.3251	0.0022	0.0732	0.0011	0.0144	
	MvSl-1064-A2-R4_MC11g10944	0.0732	0.0011	0.6092	0.0066	0.0109	
	MvSl-1064-A2-R4_MC11g10945	0.6093	0.0066	0.4466	0.0167	0.0373	
	MvSl-1064-A2-R4_MC11g10946	0.4466	0.0167	0.5058	0.2406	0.4757	
	MvSl-1064-A2-R4_MC11g10952	0.5058	0.2406	0.001	0	0	
	MvSl-1064-A2-R4_MC11g10953	0.001	0	0.359	0.0039	0.0109	
	MvSl-1064-A2-R4_MC11g10954	0.359	0.0039	0.001	0	0	
	MvSl-1064-A2-R4_MC11g10956	0.4452	0	0.001	0	0.0038	
	MvSl-1064-A2-R4_MC11g10957	0.001	0	1.9257	0.0145	0.0075	
	MvSl-1064-A2-R4_MC11g10958	1.9257	0.0145	0.2478	0.0032	0.0131	
	MvSl-1064-A2-R4_MC11g10959	0.2478	0.0032	0.4403	0.0072	0.0164	
	MvSl-1064-A2-R4_MC11g10960	0.4403	0.0072	0.2239	0.001	0.0046	
	MvSl-1064-A2-R4_MC11g10961	0.2239	0.001	1.3236	0.0506	0.0382	
	MvSl-1064-A2-R4_MC11g10962	1.3236	0.0506	0.5813	0.0139	0.024	
	MvSl-1064-A2-R4_MC11g10966	0.5813	0.0139	1.4085	0.0253	0.018	
	MvSl-1064-A2-R4_MC11g10967	1.4085	0.0253	0.0652	0.0008	0.0117	
	MvSl-1064-A2-R4_MC11g10968	0.0652	0.0008	0.2892	0.0056	0.0195	
	MvSl-1064-A2-R4_MC11g10969	0.2892	0.0056	0.4001	0.0042	0.0104	
	MvSl-1064-A2-R4_MC11g10970	0.4001	0.0042	2.6567	0.0052	0.002	
	MvSl-1064-A2-R4_MC11g10971	2.6566	0.0052	0.2532	0.0045	0.0178	
	MvSl-1064-A2-R4_MC11g10972	0.2532	0.0045	3.2215	0.0097	0.003	
	MvSl-1064-A2-R4_MC11g10973	3.2215	0.0097	0.28	0.0023	0.0082	
	MvSl-1064-A2-R4_MC11g10974	0.2816	0.0023	0.001	0.0001	0.0532	
	MvSl-1064-A2-R4_MC11g10975	0.001	0.0001	0.001	0	0.0052	
	MvSl-1064-A2-R4_MC11g10976	0.001	0	0.2354	0.0023	0.0099	
	MvSl-1064-A2-R4_MC11g10977	0.2354	0.0023	0.5919	0.0034	0.0057	
	MvSl-1064-A2-R4_MC11g10978	0.5919	0.0034	98.9996	0.0076	0.0001	
	MvSl-1064-A2-R4_MC11g10979	98.9996	0.0076	1.2231	0.0088	0.0072	
	MvSl-1064-A2-R4_MC11g10981	1.2021	0.0084	0.2503	0.0027	0.0107	
	MvSl-1064-A2-R4_MC11g10984	0.2502	0.0027	0.5544	0.0066	0.0119	
	MvSl-1064-A2-R4_MC11g10985	0.5544	0.0066	0.3748	0.002	0.0053	
	MvSl-1064-A2-R4_MC11g10986	0.3748	0.002	0.1987	0.0015	0.0074	
	MvSl-1064-A2-R4_MC11g10988	0.1987	0.0015	0.5585	0.0029	0.0052	
	MvSl-1064-A2-R4_MC11g10989	0.5585	0.0029	98.9996	0.0059	0.0001	
	MvSl-1064-A2-R4_MC11g10990	98.9996	0.0059	0.001	0	0.0032	
	MvSl-1064-A2-R4_MC12g11013	0.001	0	0.9133	0.0026	0.0028	
	MvSl-1064-A2-R4_MC12g11014	0.9132	0.0026	0.001	0	0.0094	
	MvSl-1064-A2-R4_MC12g11015	0.001	0	0.2186	0.0017	0.0077	
	MvSl-1064-A2-R4_MC12g11016	0.2186	0.0017	0.4567	0	0	
	MvSl-1064-A2-R4_MC12g11017	0.001	0	1.6337	0.0026	0.0016	
	MvSl-1064-A2-R4_MC12g11018	1.6337	0.0026	0.51	0.0083	0.0162	
	MvSl-1064-A2-R4_MC12g11020	0.51	0.0083	0.2632	0.1022	0.3883	
	MvSl-1064-A2-R4_MC12g11021	0.2632	0.1022	0.3903	0.0058	0.0149	
	MvSl-1064-A2-R4_MC12g11025	0.3903	0.0058	1.0245	0.0077	0.0075	
	MvSl-1064-A2-R4_MC12g11029	1.0245	0.0077	1.0868	0.0051	0.0047	
	MvSl-1064-A2-R4_MC12g11030	1.0868	0.0051	0.2899	0.0026	0.0091	
	MvSl-1064-A2-R4_MC12g11031	0.2899	0.0026	0.001	0	0.0061	
	MvSl-1064-A2-R4_MC12g11032	0.001	0	0.1313	0.0014	0.0104	
	MvSl-1064-A2-R4_MC12g11033	0.1313	0.0014	0.0524	0.0011	0.0214	
	MvSl-1064-A2-R4_MC12g11034	0.0524	0.0011	0.7034	0	0	
	MvSl-1064-A2-R4_MC12g11035	0.4176	0	0.1335	0.0032	0.0237	
	MvSl-1064-A2-R4_MC12g11036	0.1335	0.0032	0.5997	0.007	0.0117	
	MvSl-1064-A2-R4_MC12g11037	0.5997	0.007	0.4458	0.0046	0.0102	
	MvSl-1064-A2-R4_MC12g11038	0.4458	0.0046	98.9996	0.0275	0.0003	
	MvSl-1064-A2-R4_MC12g11041	98.9996	0.0275	0.001	0	0.0054	
	MvSl-1064-A2-R4_MC12g11044	0.001	0	0.3577	0.0134	0.0376	
	MvSl-1064-A2-R4_MC12g11045	0.3577	0.0134	2.1532	0.0149	0.0069	
	MvSl-1064-A2-R4_MC12g11046	2.1532	0.0149	0.1384	0.0015	0.0111	
	MvSl-1064-A2-R4_MC12g11047	0.1384	0.0015	0.5068	0.0027	0.0053	
	MvSl-1064-A2-R4_MC12g11048	0.5068	0.0027	0.6998	0.0134	0.0192	
	MvSl-1064-A2-R4_MC12g11049	0.6998	0.0134	98.9996	0.0175	0.0002	
	MvSl-1064-A2-R4_MC12g11050	98.9996	0.0175	0.2068	0.0035	0.0171	
	MvSl-1064-A2-R4_MC12g11051	0.2068	0.0035	98.9996	0.0062	0.0001	
	MvSl-1064-A2-R4_MC12g11052	98.9996	0.0062	0.4646	0.0044	0.0095	
	MvSl-1064-A2-R4_MC12g11053	0.5313	0.0063	0.3494	0.0025	0.0071	
	MvSl-1064-A2-R4_MC12g11054	0.3494	0.0025	0.2212	0.0017	0.0077	
	MvSl-1064-A2-R4_MC12g11055	0.4347	0.0019	0.1761	0.0022	0.0124	
	MvSl-1064-A2-R4_MC12g11056	0.1761	0.0022	0.6264	0.0032	0.0051	
	MvSl-1064-A2-R4_MC12g11057	0.6264	0.0032	4.2606	0.0132	0.0031	
	MvSl-1064-A2-R4_MC12g11058	4.2606	0.0132	0.6106	0.0063	0.0103	
	MvSl-1064-A2-R4_MC12g11059	0.6106	0.0063	0.3964	0.0039	0.0097	
	MvSl-1064-A2-R4_MC12g11060	0.3964	0.0039	0.3145	0.0019	0.006	
	MvSl-1064-A2-R4_MC12g11061	0.3145	0.0019	98.9996	0	0	
