gida1	a1prot	a1cds	gida2	a2prot	a2cds	part8	youngold	intron_nr_a1	intron_mean_a1	intron_total_a1	intron_nr_a2	intron_mean_a2	intron_total_a2	intron_nr_diff	intron_mean_diff	intron_total_diff	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	DE2
MvSl-1064-A1-R4_MC12g11163	429	1290	MvSl-1064-A2-R4_MC12g11426	429	1290	Auto	Auto	3	146.667	440	3	146.667	440	0	0	0	1036442	1038363	5.00666591	-0.043363	0.04336297	0.85287781	0.99994992	4.87559939	5.08660687	5.08570346	4.96818634	NON	NON
MvSl-1064-A1-R4_MC12g11164	613	1842	MvSl-1064-A2-R4_MC12g11427	613	1842	Auto	Auto	1	85	85	1	85	85	0	0	0	1039253	1041773	1.74536888	0.02495391	0.02495391	0.95184237	0.99994992	2.00847067	1.45389196	1.37790071	2.02000543	NON	NON
MvSl-1064-A1-R4_MC12g11165	513	1542	MvSl-1064-A2-R4_MC12g11428	513	1542	Auto	Auto	2	164.5	329	2	164.5	329	0	0	0	1042432	1046512	5.75318223	-0.2478009	0.24780086	0.29242781	0.87920295	5.36193388	5.8464856	6.02823922	5.69617757	NON	NON
MvSl-1064-A1-R4_MC12g11166	530	1593	MvSl-1064-A2-R4_MC12g11429	530	1593	Auto	Auto	3	109.667	329	3	109.667	329	0	0	0	1046818	1049466	4.81666297	-0.0637269	0.06372692	0.78901458	0.99994992	4.68994914	4.87356624	4.88753016	4.80767229	NON	NON
MvSl-1064-A1-R4_MC12g11167	630	1893	MvSl-1064-A2-R4_MC12g11430	630	1893	Auto	Auto	6	104.667	628	6	104.667	628	0	0	0	1049557	1051644	1.68202388	0.07304168	0.07304168	0.84869637	0.99994992	1.57713969	1.84302536	1.57093066	1.71668659	NON	NON
MvSl-1064-A1-R4_MC12g11168	1102	3309	MvSl-1064-A2-R4_MC12g11431	1102	3309	Auto	Auto	7	110.286	772	7	110.286	772	0	0	0	1052140	1053053	8.3250353	-0.2158261	0.21582606	0.34459117	0.91695369	8.27172706	8.15212383	8.40037368	8.45693029	NON	NON
MvSl-1064-A1-R4_MC12g11169	665	1998	MvSl-1064-A2-R4_MC12g11432	665	1998	Auto	Auto	8	81.375	651	8	81.375	651	0	0	0	1057010	1057339	7.28412343	-0.2562334	0.25623344	0.21251901	0.78251859	6.97791709	7.30463122	7.39010078	7.42289009	NON	NON
MvSl-1064-A1-R4_MC12g11170	626	1881	MvSl-1064-A2-R4_MC12g11433	626	1881	Auto	Auto	2	103.5	207	2	103.5	207	0	0	0	1057776	1058292	4.45031062	-0.0860908	0.08609085	0.7463429	0.99994992	4.21937818	4.57300935	4.63322328	4.33669977	NON	NON
MvSl-1064-A1-R4_MC12g11173	95	288	MvSl-1064-A2-R4_MC12g11436	95	288	Auto	Auto	1	42	42	1	42	42	0	0	0	1059579	1060605	2.32293706	-0.0242876	0.02428759	0.94895518	0.99994992	2.64267807	1.88043287	2.30380587	2.36583001	NON	NON
MvSl-1064-A1-R4_MC12g11174	142	429	MvSl-1064-A2-R4_MC12g11437	142	429	Auto	Auto	1	88	88	1	88	88	0	0	0	1061783	1064573	3.98322209	0.1709603	0.1709603	0.56195865	0.99255356	4.26264801	3.83630708	3.69638711	4.0703939	NON	NON
MvSl-1064-A1-R4_MC12g11175	301	906	MvSl-1064-A2-R4_MC12g11438	301	906	Auto	Auto	1	0	0	1	0	0	0	0	0	1065045	1067363	4.0976235	0.0393546	0.0393546	0.88948074	0.99994992	4.23756525	3.98538587	3.84786032	4.27663455	NON	NON
MvSl-1064-A1-R4_MC12g11176	301	906	MvSl-1064-A2-R4_MC12g11439	301	906	Auto	Auto	2	60.5	121	2	60.5	121	0	0	0	1067537	1071136	5.02503302	0.09124094	0.09124094	0.6938963	0.99994992	5.05859289	5.08059261	4.85610311	5.09185216	NON	NON
MvSl-1064-A1-R4_MC12g11177	763	2292	MvSl-1064-A2-R4_MC12g11440	763	2292	Auto	Auto	7	71.2857	499	7	71.2857	499	0	0	0	1071694	1072805	7.71393796	0.02980613	0.02980613	0.88489127	0.99994992	7.69129479	7.76525793	7.75349392	7.64225536	NON	NON
MvSl-1064-A1-R4_MC12g11178	552	1659	MvSl-1064-A2-R4_MC12g11441	552	1659	Auto	Auto	1	660	660	1	660	660	0	0	0	1072866	1074382	8.09301897	-0.2154842	0.21548418	0.32420303	0.90329694	7.96783937	7.99472423	8.23155168	8.16108656	NON	NON
MvSl-1064-A1-R4_MC12g11179	904	2715	MvSl-1064-A2-R4_MC12g11442	904	2715	Auto	Auto	9	98.4444	886	9	98.3333	885	0	0.1111	1	1075805	1077441	6.35313595	-0.0748307	0.07483074	0.69342455	0.99994992	6.24262083	6.38456406	6.44741371	6.33030959	NON	NON
MvSl-1064-A1-R4_MC12g11181	348	1047	MvSl-1064-A2-R4_MC12g11444	348	1047	Auto	Auto	6	78.3333	470	6	78.3333	470	0	0	0	1080364	1083025	1.84175923	-0.5970826	0.59708261	0.10624044	0.5829586	1.57713969	1.47849584	2.08631174	2.1327231	NON	NON
MvSl-1064-A1-R4_MC12g11182	494	1485	MvSl-1064-A2-R4_MC12g11445	494	1485	Auto	Auto	2	76	152	2	76	152	0	0	0	1083654	1085733	0.56905927	0.12264431	0.12264431	0.79060797	0.99994992	0.51006081	0.72744765	0.71559802	0.26230634	NON	NON
MvSl-1064-A1-R4_MC12g11183	473	1422	MvSl-1064-A2-R4_MC12g11446	473	1422	Auto	Auto	2	145	290	2	145	290	0	0	0	1085945	1087278	4.61612983	0.54769587	0.54769587	0.04554509	0.35204788	5.04419938	4.65354425	4.05580471	4.53773621	NON	NON
MvSl-1064-A1-R4_MC12g11184	816	2451	MvSl-1064-A2-R4_MC12g11447	816	2451	Auto	Auto	2	105.5	211	2	105.5	211	0	0	0	1087766	1089106	5.84485838	0.01821367	0.01821367	0.92800796	0.99994992	5.80889233	5.8975541	5.85888625	5.81214452	NON	NON
MvSl-1064-A1-R4_MC12g11185	665	1998	MvSl-1064-A2-R4_MC12g11448	665	1998	Auto	Auto	1	82	82	1	82	82	0	0	0	1089572	1090855	5.88090023	-0.0638609	0.06386091	0.75313632	0.99994992	5.88701443	5.80938823	5.82817228	5.99224638	NON	NON
MvSl-1064-A1-R4_MC12g11186	210	633	MvSl-1064-A2-R4_MC12g11449	210	633	Auto	Auto	6	116.833	701	6	116.833	701	0	0	0	1091144	1091955	11.3941723	-0.2477453	0.24774534	0.54124262	0.98991415	11.014272	11.4785318	11.8343083	11.0982807	NON	NON
MvSl-1064-A1-R4_MC12g11187	347	1044	MvSl-1064-A2-R4_MC12g11450	347	1044	Auto	Auto	4	74.25	297	4	74.25	297	0	0	0	1092024	1092450	6.6633199	0.1057376	0.1057376	0.6167533	0.99353777	6.58633172	6.83334848	6.79686216	6.39389025	NON	NON
MvSl-1064-A1-R4_MC12g11188	300	903	MvSl-1064-A2-R4_MC12g11451	300	903	Auto	Auto	4	95.25	381	4	95.25	381	0	0	0	1092838	1094324	5.67750901	-0.2451616	0.24516161	0.28085131	0.87055759	5.36855075	5.7115952	5.97924436	5.58335175	NON	NON
MvSl-1064-A1-R4_MC12g11189	144	435	MvSl-1064-A2-R4_MC12g11452	144	435	Auto	Auto	2	188.5	377	2	188.5	377	0	0	0	1095363	1096568	9.02885228	0.05583059	0.05583059	0.85813931	0.99994992	8.67868188	9.35559765	9.24160723	8.71122391	NON	NON
MvSl-1064-A1-R4_MC12g11190	117	354	MvSl-1064-A2-R4_MC12g11453	117	354	Auto	Auto	1	73	73	1	73	73	0	0	0	1097588	1098089	8.80643919	-0.0286676	0.02866762	0.92996793	0.99994992	8.37165787	9.11715577	9.14129225	8.40784052	NON	NON
MvSl-1064-A1-R4_MC12g11191	283	852	MvSl-1064-A2-R4_MC12g11454	283	852	Auto	Auto	7	90.7143	638	7	91.1429	635	0	-0.4286	3	1098828	1101057	7.88421933	-0.0139602	0.01396019	0.94777137	0.99994992	7.79348631	7.95637353	7.88647105	7.8958818	NON	NON
MvSl-1064-A1-R4_MC12g11192	327	984	MvSl-1064-A2-R4_MC12g11455	327	984	Auto	Auto	3	74	222	3	74	222	0	0	0	1101975	1102415	6.28324689	0.08006213	0.08006213	0.66928011	0.99994992	6.27467943	6.36902149	6.29364199	6.18973332	NON	NON
MvSl-1064-A1-R4_MC12g11194	583	1752	MvSl-1064-A2-R4_MC12g11457	583	1752	Auto	Auto	6	79.6667	478	6	79.6667	478	0	0	0	1103178	1104713	1.1179686	0.31662408	0.31662408	0.44411767	0.96943709	1.35524934	1.15130287	0.97164516	0.93622085	NON	NON
MvSl-1064-A1-R4_MC12g11195	79	240	MvSl-1064-A2-R4_MC12g11458	79	240	Auto	Auto	2	100.5	201	2	100.5	201	0	0	0	1105345	1107955	5.67273026	-0.1432665	0.14326646	0.48701153	0.97962181	5.49941753	5.69331875	5.81733402	5.66371559	NON	NON
MvSl-1064-A1-R4_MC12g11196	53	162	MvSl-1064-A2-R4_MC12g11459	53	162	Auto	Auto	1	0	0	1	0	0	0	0	0	1109359	1110540	4.61132947	-0.1425748	0.14257482	0.56156667	0.99255356	4.43646271	4.63451243	4.6996497	4.66189193	NON	NON
MvSl-1064-A1-R4_MC12g11197	379	1140	MvSl-1064-A2-R4_MC12g11460	379	1140	Auto	Auto	4	99	396	4	99	396	0	0	0	1111463	1114020	6.45589802	0.22587565	0.22587565	0.25973265	0.84299712	6.56272305	6.56555375	6.14553232	6.50887194	NON	NON
MvSl-1064-A1-R4_MC12g11198	772	2319	MvSl-1064-A2-R4_MC12g11461	772	2319	Auto	Auto	3	97.3333	292	3	97.3333	292	0	0	0	1114637	1116378	5.32956128	-0.3624661	0.36246615	0.14008699	0.65324295	5.15551663	5.12022206	5.19440862	5.75165341	NON	NON
MvSl-1064-A1-R4_MC12g11199	367	1104	MvSl-1064-A2-R4_MC12g11462	367	1104	Auto	Auto	1	78	78	1	78	78	0	0	0	1117002	1119206	0.88468009	-0.3210069	0.32100686	0.46143931	0.97587937	0.88711492	0.5530935	0.89124159	1.16549433	NON	NON
MvSl-1064-A1-R4_MC12g11200	779	2340	MvSl-1064-A2-R4_MC12g11463	779	2340	Auto	Auto	2	109	218	2	109	218	0	0	0	1119387	1122937	7.58290985	-0.1187785	0.11877846	0.55737388	0.99255356	7.44003135	7.60025127	7.64427791	7.63788516	NON	NON
MvSl-1064-A1-R4_MC12g11201	472	1419	MvSl-1064-A2-R4_MC12g11464	472	1419	Auto	Auto	3	107.667	323	3	107.667	323	0	0	0	1124488	1126624	6.4998379	-0.1481353	0.14813534	0.43983323	0.96811531	6.40027402	6.44745082	6.66327717	6.47452744	NON	NON
MvSl-1064-A1-R4_MC12g11202	734	2205	MvSl-1064-A2-R4_MC12g11465	734	2205	Auto	Auto	1	0	0	1	0	0	0	0	0	1127965	1128535	5.40096722	0.09486214	0.09486214	0.65743003	0.99994992	5.44097168	5.45377615	5.35478607	5.35068436	NON	NON
MvSl-1064-A1-R4_MC12g11203	1113	3342	MvSl-1064-A2-R4_MC12g11466	1113	3342	Auto	Auto	3	69.6667	209	3	69.6667	209	0	0	0	1129101	1133176	8.0751028	0.15017946	0.15017946	0.51951069	0.98553807	8.13506458	8.16117623	7.78547394	8.18334007	NON	NON
MvSl-1064-A1-R4_MC12g11204	513	1542	MvSl-1064-A2-R4_MC12g11467	513	1542	Auto	Auto	2	297.5	595	2	297.5	595	0	0	0	1133677	1134402	7.25421034	-0.0048244	0.00482436	0.9801552	0.99994992	7.2407593	7.26274956	7.20760088	7.30405428	NON	NON
MvSl-1064-A1-R4_MC12g11205	106	321	MvSl-1064-A2-R4_MC12g11468	106	321	Auto	Auto	2	125	250	2	125	250	0	0	0	1134446	1134742	6.151825048	-1.294487564	1.294487564	7.61E-09	3.20E-07	5.380057763	5.352593011	6.90190936	6.366297761	Down	DE
MvSl-1064-A1-R4_MC12g11206	1201	3606	MvSl-1064-A2-R4_MC12g11469	1201	3606	Auto	Auto	6	78.3333	470	6	78.3333	470	0	0	0	1134806	1135462	9.56393861	0.00443878	0.00443878	0.98771454	0.99994992	9.52694634	9.60432551	9.71644883	9.38836184	NON	NON
MvSl-1064-A1-R4_MC12g11207	153	462	MvSl-1064-A2-R4_MC12g11470	153	462	Auto	Auto	2	132	264	2	132	264	0	0	0	1135520	1135678	4.57172693	0.01278103	0.01278103	0.95926649	0.99994992	4.58873916	4.56728593	4.6996497	4.41679926	NON	NON
MvSl-1064-A1-R4_MC12g11208	98	297	MvSl-1064-A2-R4_MC12g11471	98	297	Auto	Auto	1	0	0	1	0	0	0	0	0	1135977	1137468	2.44678652	-0.1264206	0.12642058	0.70802548	0.99994992	2.39297215	2.37564728	2.54625724	2.46962929	NON	NON
MvSl-1064-A1-R4_MC12g11209	201	606	MvSl-1064-A2-R4_MC12g11472	201	606	Auto	Auto	1	51	51	1	51	51	0	0	0	1137824	1144888	5.0815239	-0.0911203	0.09112033	0.70842477	0.99994992	4.82838131	5.21660907	5.24178894	5.00072967	NON	NON
MvSl-1064-A1-R4_MC12g11210	52	159	MvSl-1064-A2-R4_MC12g11473	52	159	Auto	Auto	1	0	0	1	0	0	0	0	0	1145178	1146385	3.62536959	-0.1729998	0.1729998	0.60786671	0.9930078	3.2051491	3.80746552	3.98493016	3.36710395	NON	NON
MvSl-1064-A1-R4_MC12g11211	418	1257	MvSl-1064-A2-R4_MC12g11474	418	1257	Auto	Auto	3	78.3333	235	3	78.3333	235	0	0	0	1146705	1148626	5.50076059	-0.1689751	0.16897506	0.43527983	0.96737159	5.38496138	5.4428777	5.70569287	5.44829807	NON	NON
MvSl-1064-A1-R4_MC12g11212	1964	5895	MvSl-1064-A2-R4_MC12g11475	1964	5895	Auto	Auto	10	117	1170	10	117	1170	0	0	0	1148894	1152232	7.95662405	-0.1611118	0.16111178	0.45693386	0.97508312	7.88747652	7.8601797	8.13774299	7.92421714	NON	NON
MvSl-1064-A1-R4_MC12g11213	303	912	MvSl-1064-A2-R4_MC12g11476	303	912	Auto	Auto	3	98.6667	296	3	98.6667	296	0	0	0	1152433	1157305	5.66150225	0.17964235	0.17964235	0.4031441	0.95024973	5.60685676	5.87688045	5.69685005	5.42819265	NON	NON
MvSl-1064-A1-R4_MC12g11214	538	1617	MvSl-1064-A2-R4_MC12g11477	538	1617	Auto	Auto	4	76.25	305	4	76.25	305	0	0	0	1158469	1162695	5.52031109	0.18520577	0.18520577	0.37178556	0.93285295	5.58713465	5.63158335	5.40451398	5.44466332	NON	NON
MvSl-1064-A1-R4_MC12g11215	949	2850	MvSl-1064-A2-R4_MC12g11478	949	2850	Auto	Auto	5	97.8	489	5	97.8	489	0	0	0	1163230	1163758	4.23268231	0.49361944	0.49361944	0.08480937	0.50990466	4.34882899	4.55577053	4.21704784	3.65823766	NON	NON
MvSl-1064-A1-R4_MC12g11216	1492	4479	MvSl-1064-A2-R4_MC12g11479	1492	4479	Auto	Auto	5	78.8	394	5	78.8	394	0	0	0	1163924	1164829	7.8208639	0.46880298	0.46880298	0.10606952	0.5825449	8.35779888	7.62146449	7.19247704	7.8649405	NON	NON
MvSl-1064-A1-R4_MC12g11217	1086	3261	MvSl-1064-A2-R4_MC12g11480	1086	3261	Auto	Auto	5	193.2	966	5	193.2	966	0	0	0	1164984	1165583	6.46717299	-0.0324614	0.03246137	0.86308583	0.99994992	6.5105797	6.38862653	6.47612248	6.4904804	NON	NON
MvSl-1064-A1-R4_MC12g11218	135	408	MvSl-1064-A2-R4_MC12g11481	135	408	Auto	Auto	1	121	121	1	121	121	0	0	0	1165908	1167842	3.70044894	-0.1791286	0.17912864	0.56067046	0.99255356	3.73194674	3.47596301	3.49347704	4.03215358	NON	NON
MvSl-1064-A1-R4_MC12g11219	301	906	MvSl-1064-A2-R4_MC12g11482	301	906	Auto	Auto	1	0	0	1	0	0	0	0	0	1169162	1169320	4.78798929	-0.068137	0.06813698	0.7754268	0.99994992	4.8662786	4.63177299	4.81037592	4.83291772	NON	NON
MvSl-1064-A1-R4_MC12g11220	199	600	MvSl-1064-A2-R4_MC12g11483	199	600	Auto	Auto	1	0	0	1	0	0	0	0	0	1169807	1174883	4.74700261	-0.0124032	0.01240316	0.95937421	0.99994992	4.67401147	4.80469945	4.87973735	4.61415143	NON	NON
MvSl-1064-A1-R4_MC12g11221	529	1590	MvSl-1064-A2-R4_MC12g11484	529	1590	Auto	Auto	4	86.25	345	4	86.25	345	0	0	0	1176013	1178040	8.49481407	0.01908138	0.01908138	0.9353558	0.99994992	8.45640405	8.55068995	8.44528422	8.5241282	NON	NON
MvSl-1064-A1-R4_MC12g11222	52	159	MvSl-1064-A2-R4_MC12g11485	52	159	Auto	Auto	1	0	0	1	0	0	0	0	0	1178421	1181316	2.3090489	0.64497316	0.64497316	0.21084197	0.78074078	3.17526803	1.57291847	1.40710864	2.35037256	NON	NON
MvSl-1064-A1-R4_MC12g11223	1560	4683	MvSl-1064-A2-R4_MC12g11486	1560	4683	Auto	Auto	4	98.5	394	4	98.5	394	0	0	0	1182377	1182556	9.20950077	0.02055542	0.02055542	0.94422626	0.99994992	9.45454595	8.93914608	9.02467044	9.35486447	NON	NON
MvSl-1064-A1-R4_MC12g11224	429	1290	MvSl-1064-A2-R4_MC12g11487	429	1290	Auto	Auto	7	105.429	738	7	105.429	738	0	0	0	1183135	1184684	7.75003793	0.12926105	0.12926105	0.54213981	0.98991415	7.74504434	7.87820585	7.78929207	7.57027511	NON	NON
MvSl-1064-A1-R4_MC12g11227	59	180	MvSl-1064-A2-R4_MC12g11490	59	180	Auto	Auto	1	0	0	1	0	0	0	0	0	1189400	1189830	2.65570867	0.91629215	0.91629215	0.01203572	0.13503072	3.30511262	2.69196255	1.9736842	2.27049897	NON	NON
MvSl-1064-A1-R4_MC12g11228	458	1377	MvSl-1064-A2-R4_MC12g11491	458	1377	Auto	Auto	2	86.5	173	2	86.5	173	0	0	0	1190300	1192589	3.46398956	-0.3435838	0.3435838	0.34100944	0.91560606	3.25599649	3.31451927	3.03207548	4.04661274	NON	NON
MvSl-1064-A1-R4_MC12g11229	922	2769	MvSl-1064-A2-R4_MC12g11492	922	2769	Auto	Auto	5	115	575	5	115	575	0	0	0	1192868	1196393	7.58057583	-0.098674	0.09867401	0.62218283	0.995537	7.54671846	7.5139952	7.58640432	7.67053798	NON	NON
MvSl-1064-A1-R4_MC12g11230	99	300	MvSl-1064-A2-R4_MC12g11493	99	300	Auto	Auto	2	65.5	131	2	65.5	131	0	0	0	1196444	1197809	5.52671231	0.08070016	0.08070016	0.71984553	0.99994992	5.5248169	5.60668813	5.68646446	5.25223508	NON	NON
MvSl-1064-A1-R4_MC12g11231	612	1839	MvSl-1064-A2-R4_MC12g11494	612	1839	Auto	Auto	5	90.2	451	5	90.2	451	0	0	0	1198659	1202147	0.33850959	-0.4438845	0.44388451	0.34265172	0.9166057	0.18971002	0.06094798	0.56823438	0.50499877	NON	NON
MvSl-1064-A1-R4_MC12g11232	834	2505	MvSl-1064-A2-R4_MC12g11495	834	2505	Auto	Auto	7	145.857	1021	7	145.857	1021	0	0	0	1202897	1206204	7.14322697	-0.220925	0.22092499	0.27293841	0.85998019	7.11310108	6.93906506	7.07965777	7.40148772	NON	NON
MvSl-1064-A1-R4_MC12g11233	198	597	MvSl-1064-A2-R4_MC12g11496	198	597	Auto	Auto	5	153.8	769	5	153.8	769	0	0	0	1206947	1212539	4.439638949	-0.874554805	0.874554805	0.000537918	0.010380722	3.994012766	3.887730785	4.777202419	4.846754387	Down	DE
MvSl-1064-A1-R4_MC12g11235	807	2424	MvSl-1064-A2-R4_MC12g11498	807	2424	Auto	Auto	10	106.5	1065	10	106.5	1065	0	0	0	1214610	1217525	4.02367794	0.09294392	0.09294392	0.78952216	0.99994992	3.87822592	4.23682965	4.40251325	3.36710395	NON	NON
MvSl-1064-A1-R4_MC12g11236	919	2760	MvSl-1064-A2-R4_MC12g11499	919	2760	Auto	Auto	5	109.6	548	5	109.6	548	0	0	0	1218361	1228567	5.23735414	-0.0481358	0.04813575	0.8272205	0.99994992	5.15742842	5.26691118	5.19440862	5.32521288	NON	NON
MvSl-1064-A1-R4_MC12g11238	1530	4593	MvSl-1064-A2-R4_MC12g11501	1530	4593	Auto	Auto	10	100	1000	10	100	1000	0	0	0	1228610	1230165	4.52625634	-0.0304986	0.03049862	0.90143802	0.99994992	4.59439534	4.42263592	4.50738214	4.57478793	NON	NON
MvSl-1064-A1-R4_MC12g11240	855	2568	MvSl-1064-A2-R4_MC12g11503	855	2568	Auto	Auto	4	87	348	4	87	348	0	0	0	1230957	1233388	7.13134482	0.60434592	0.60434592	0.01517807	0.16118924	7.12682652	7.63246924	7.07511545	6.45388298	NON	NON
MvSl-1064-A1-R4_MC12g11241	2897	8694	MvSl-1064-A2-R4_MC12g11504	2897	8694	Auto	Auto	18	84.0556	1513	18	84.0556	1513	0	0	0	1233750	1236041	7.50201132	0.59147092	0.59147092	0.00413294	0.05792208	7.89580315	7.6262894	7.1585284	7.19361798	NON	NON
MvSl-1064-A1-R4_MC12g11242	346	1041	MvSl-1064-A2-R4_MC12g11505	346	1041	Auto	Auto	5	103	515	5	103	515	0	0	0	1236394	1237400	4.962730019	1.282149404	1.282149404	4.52E-07	1.53E-05	5.58713465	5.325724476	3.965427107	4.375397439	Up	DE
MvSl-1064-A1-R4_MC12g11244	512	1539	MvSl-1064-A2-R4_MC12g11507	512	1539	Auto	Auto	10	89.3	893	10	89.3	893	0	0	0	1237958	1242273	7.28390412	-0.0445435	0.04454349	0.82895299	0.99994992	7.32652042	7.19338105	7.14233574	7.45305364	NON	NON
MvSl-1064-A1-R4_MC12g11245	629	1890	MvSl-1064-A2-R4_MC12g11508	629	1890	Auto	Auto	5	80.4	402	5	80.4	402	0	0	0	1242468	1247758	4.14451939	0.33976164	0.33976164	0.19928484	0.7641019	4.37206494	4.22960059	3.92561177	4.00279312	NON	NON
MvSl-1064-A1-R4_MC12g11246	299	900	MvSl-1064-A2-R4_MC12g11509	299	900	Auto	Auto	1	107	107	1	107	107	0	0	0	1248344	1250334	1.22561118	0.03726702	0.03726702	0.93290221	0.99994992	1.06059185	1.40338846	1.57093066	0.71268358	NON	NON
MvSl-1064-A1-R4_MC12g11247	1238	3717	MvSl-1064-A2-R4_MC12g11510	1238	3717	Auto	Auto	7	85.5714	599	7	85.5714	599	0	0	0	1250882	1251169	7.46559334	-0.2301505	0.23015051	0.24748804	0.8264747	7.36508252	7.32681949	7.59753292	7.55434206	NON	NON
MvSl-1064-A1-R4_MC12g11248	1667	5004	MvSl-1064-A2-R4_MC12g11511	1667	5004	Auto	Auto	4	71.75	287	4	71.75	287	0	0	0	1251282	1251655	8.81760528	-0.1103339	0.11033385	0.66548993	0.99994992	8.87385957	8.63945172	8.80345282	8.93691254	NON	NON
MvSl-1064-A1-R4_MC12g11249	615	1848	MvSl-1064-A2-R4_MC12g11512	615	1848	Auto	Auto	2	71.5	143	2	71.5	143	0	0	0	1252611	1253256	5.55112635	-0.1180935	0.11809355	0.57418628	0.9930078	5.46123389	5.52045751	5.70716142	5.50349629	NON	NON
MvSl-1064-A1-R4_MC12g11253	287	864	MvSl-1064-A2-R4_MC12g11516	287	864	Auto	Auto	4	62.25	249	4	62.25	249	0	0	0	1261614	1263971	3.20648752	0.20372815	0.20372815	0.5171626	0.98542301	3.08975311	3.48813062	3.13167638	3.06961161	NON	NON
MvSl-1064-A1-R4_MC12g11254	1214	3645	MvSl-1064-A2-R4_MC12g11517	1214	3645	Auto	Auto	8	72.25	578	8	72.25	578	0	0	0	1264236	1265555	1.92844757	0.63055853	0.63055853	0.09574633	0.54678384	2.36677201	2.00421127	1.43573696	1.71668659	NON	NON
MvSl-1064-A1-R4_MC12g11255	181	546	MvSl-1064-A2-R4_MC12g11518	181	546	Auto	Auto	5	92	460	5	92	460	0	0	0	1266526	1269975	6.13392589	-0.1785164	0.17851643	0.38280579	0.93837337	5.89620264	6.17474683	6.32745529	6.10476771	NON	NON
MvSl-1064-A1-R4_MC12g11256	714	2145	MvSl-1064-A2-R4_MC12g11519	714	2145	Auto	Auto	3	71	213	3	71	213	0	0	0	1270662	1275243	4.63285979	-0.3060369	0.30603688	0.22904686	0.80199747	4.42698439	4.51769772	4.96322716	4.56477692	NON	NON
MvSl-1064-A1-R4_MC12g11257	345	1038	MvSl-1064-A2-R4_MC12g11520	345	1038	Auto	Auto	3	94	282	3	94	282	0	0	0	1275322	1275612	5.73983308	-0.0317273	0.03172726	0.87892582	0.99994992	5.60545695	5.83343093	5.78849002	5.72193163	NON	NON
MvSl-1064-A1-R4_MC12g11258	1016	3051	MvSl-1064-A2-R4_MC12g11521	1016	3051	Auto	Auto	5	79.8	399	5	79.8	399	0	0	0	1275785	1278383	5.58051065	-0.0283089	0.02830894	0.89492118	0.99994992	5.54540341	5.58702375	5.73766057	5.43553617	NON	NON
MvSl-1064-A1-R4_MC12g11259	1161	3486	MvSl-1064-A2-R4_MC12g11522	1161	3486	Auto	Auto	15	73.0667	1096	15	73.0667	1096	0	0	0	1278593	1281433	4.73958421	-0.0814849	0.08148489	0.78687743	0.99994992	4.9235694	4.4321141	4.33951893	5.11719016	NON	NON
MvSl-1064-A1-R4_MC12g11260	96	291	MvSl-1064-A2-R4_MC12g11523	96	291	Auto	Auto	1	0	0	1	0	0	0	0	0	1281927	1284643	2.66186479	0.08928413	0.08928413	0.78897863	0.99994992	2.70674582	2.70244438	2.4652582	2.75435652	NON	NON
MvSl-1064-A1-R4_MC12g11261	757	2274	MvSl-1064-A2-R4_MC12g11524	757	2274	Auto	Auto	4	81.25	325	4	81.25	325	0	0	0	1284871	1290338	6.14227848	0.09546402	0.09546402	0.61947775	0.99446363	6.16492504	6.21282129	6.03877505	6.14675784	NON	NON
MvSl-1064-A1-R4_MC12g11262	751	2256	MvSl-1064-A2-R4_MC12g11525	751	2256	Auto	Auto	7	83.5714	585	7	83.5714	585	0	0	0	1290612	1291899	6.24310145	0.17340333	0.17340333	0.35808369	0.9222589	6.34430814	6.30941271	6.15632375	6.15122497	NON	NON
MvSl-1064-A1-R4_MC12g11263	752	2259	MvSl-1064-A2-R4_MC12g11526	752	2259	Auto	Auto	5	91.6	458	5	91.6	458	0	0	0	1291983	1294261	5.82788264	-0.3178084	0.31780837	0.1351103	0.64497063	5.62216576	5.69856426	6.13247514	5.80507479	NON	NON
MvSl-1064-A1-R4_MC12g11264	1392	4179	MvSl-1064-A2-R4_MC12g11527	1392	4179	Auto	Auto	16	80.5625	1289	16	80.5625	1289	0	0	0	1294632	1299753	7.24320536	0.07645799	0.07645799	0.69437862	0.99994992	7.34215321	7.21687645	7.17028857	7.23786716	NON	NON
MvSl-1064-A1-R4_MC12g11265	312	939	MvSl-1064-A2-R4_MC12g11528	312	939	Auto	Auto	4	87.25	349	4	87.25	349	0	0	0	1299930	1304181	5.61434373	-0.194444	0.19444404	0.35616392	0.92151231	5.37349357	5.64251148	5.66999166	5.74575783	NON	NON
MvSl-1064-A1-R4_MC12g11266	617	1854	MvSl-1064-A2-R4_MC12g11529	617	1854	Auto	Auto	4	106.25	425	4	106.25	425	0	0	0	1305028	1309996	5.58350175	-0.3062306	0.30623061	0.15966781	0.69207746	5.40923254	5.43661286	5.89670323	5.53801902	NON	NON
MvSl-1064-A1-R4_MC12g11267	1599	4800	MvSl-1064-A2-R4_MC12g11530	1600	4803	Auto	Auto	4	80.5	322	4	80.5	322	0	0	0	1311324	1313820	5.75272174	-0.0986976	0.09869763	0.66189096	0.99994992	5.72371827	5.68144616	6.02353182	5.53801902	NON	NON
